threshold,COR-MOR_logistic,COR-MOR_percentile,COR-MOR_perfect,ROC_x_percentile,ROC_y_percentile,ROC_x_logistic,ROC_y_logistic,ROC_x_perfect,ROC_y_perfect,CMC_x_percentile,CMC_y_percentile,CMC_x_logistic,CMC_y_logistic,CMC_x_perfect,CMC_y_perfect
0,inf,inf,inf,1,1,1,1,1,1,0,1,0,1,0,1
0.001,inf,inf,0,0.387149918,1,0.993822076,1,0,1,0,0.387149918,0,0.993822076,0,0
0.002,inf,inf,0,0.383031301,1,0.992586491,1,0,1,0,0.383031301,0,0.992586491,0,0
0.003,inf,inf,0,0.379324547,1,0.98723229,1,0,1,0,0.379324547,0,0.98723229,0,0
0.004,inf,inf,0,0.378500824,1,0.978583196,1,0,1,0,0.378500824,0,0.978583196,0,0
0.005,inf,inf,0,0.377265239,1,0.962520593,1,0,1,0,0.377265239,0,0.962520593,0,0
0.006,inf,inf,0,0.373970346,1,0.945634267,1,0,1,0,0.373970346,0,0.945634267,0,0
0.007,inf,inf,0,0.373970346,1,0.932866557,1,0,1,0,0.373970346,0,0.932866557,0,0
0.008,inf,inf,0,0.373970346,1,0.91062603,1,0,1,0,0.373970346,0,0.91062603,0,0
0.009,inf,inf,0,0.373146623,1,0.887561779,1,0,1,0,0.373146623,0,0.887561779,0,0
0.01,inf,inf,0,0.371911038,1,0.862438221,1,0,1,0,0.371911038,0,0.862438221,0,0
0.011,inf,inf,0,0.371911038,1,0.841433278,1,0,1,0,0.371911038,0,0.841433278,0,0
0.012,inf,inf,0,0.371499176,1,0.81878089,1,0,1,0,0.371499176,0,0.81878089,0,0
0.013,inf,inf,0,0.371087315,1,0.80354201,1,0,1,0,0.371087315,0,0.80354201,0,0
0.014,inf,inf,0,0.371087315,1,0.781301483,1,0,1,0,0.371087315,0,0.781301483,0,0
0.015,inf,inf,0,0.370675453,1,0.760708402,1,0,1,0,0.370675453,0,0.760708402,0,0
0.016,inf,inf,0,0.370675453,1,0.736820428,1,0,1,0,0.370675453,0,0.736820428,0,0
0.017,inf,inf,0,0.370675453,1,0.718698517,1,0,1,0,0.370675453,0,0.718698517,0,0
0.018,inf,inf,0,0.370263591,1,0.702224053,1,0,1,0,0.370263591,0,0.702224053,0,0
0.019,inf,inf,0,0.36985173,1,0.690691928,1,0,1,0,0.36985173,0,0.690691928,0,0
0.02,inf,inf,0,0.36985173,1,0.675041186,1,0,1,0,0.36985173,0,0.675041186,0,0
0.021,inf,inf,0,0.369439868,1,0.65568369,1,0,1,0,0.369439868,0,0.65568369,0,0
0.022,inf,inf,0,0.369439868,1,0.634678748,1,0,1,0,0.369439868,0,0.634678748,0,0
0.023,inf,inf,0,0.368204283,1,0.616556837,1,0,1,0,0.368204283,0,0.616556837,0,0
0.024,inf,inf,0,0.368204283,1,0.603789127,1,0,1,0,0.368204283,0,0.603789127,0,0
0.025,inf,inf,0,0.36738056,1,0.593904448,1,0,1,0,0.36738056,0,0.593904448,0,0
0.026,inf,inf,0,0.366968699,1,0.586902801,1,0,1,0,0.366968699,0,0.586902801,0,0
0.027,inf,inf,0,0.366968699,1,0.574958814,1,0,1,0,0.366968699,0,0.574958814,0,0
0.028,inf,inf,0,0.366968699,1,0.56383855,1,0,1,0,0.366968699,0,0.56383855,0,0
0.029,inf,inf,0,0.366968699,1,0.558896211,1,0,1,0,0.366968699,0,0.558896211,0,0
0.03,inf,inf,0,0.366556837,1,0.549835255,1,0,1,0,0.366556837,0,0.549835255,0,0
0.031,inf,inf,0,0.366556837,1,0.545304778,1,0,1,0,0.366556837,0,0.545304778,0,0
0.032,inf,inf,0,0.366556837,1,0.539126853,1,0,1,0,0.366556837,0,0.539126853,0,0
0.033,inf,inf,0,0.366144975,1,0.535420099,1,0,1,0,0.366144975,0,0.535420099,0,0
0.034,inf,inf,0,0.366144975,1,0.530065898,1,0,1,0,0.366144975,0,0.530065898,0,0
0.035,inf,inf,0,0.366144975,1,0.528418451,1,0,1,0,0.366144975,0,0.528418451,0,0
0.036,inf,inf,0,0.366144975,1,0.52306425,1,0,1,0,0.366144975,0,0.52306425,0,0
0.037,inf,inf,0,0.365733114,1,0.518533773,1,0,1,0,0.365733114,0,0.518533773,0,0
0.038,inf,inf,0,0.365733114,1,0.511532125,1,0,1,0,0.365733114,0,0.511532125,0,0
0.039,inf,inf,0,0.365733114,1,0.504118616,1,0,1,0,0.365733114,0,0.504118616,0,0
0.04,inf,inf,0,0.365733114,1,0.495057661,1,0,1,0,0.365733114,0,0.495057661,0,0
0.041,inf,inf,0,0.365321252,1,0.490115321,1,0,1,0,0.365321252,0,0.490115321,0,0
0.042,inf,inf,0,0.365321252,1,0.485584843,1,0,1,0,0.365321252,0,0.485584843,0,0
0.043,inf,inf,0,0.365321252,1,0.480642504,1,0,1,0,0.365321252,0,0.480642504,0,0
0.044,inf,inf,0,0.365321252,1,0.474876442,1,0,1,0,0.365321252,0,0.474876442,0,0
0.045,inf,inf,0,0.365321252,1,0.470757825,1,0,1,0,0.365321252,0,0.470757825,0,0
0.046,inf,inf,0,0.365321252,1,0.469522241,1,0,1,0,0.365321252,0,0.469522241,0,0
0.047,inf,inf,0,0.364497529,1,0.467874794,1,0,1,0,0.364497529,0,0.467874794,0,0
0.048,inf,inf,0,0.364497529,1,0.465815486,1,0,1,0,0.364497529,0,0.465815486,0,0
0.049,inf,inf,0,0.364497529,1,0.464579901,1,0,1,0,0.364497529,0,0.464579901,0,0
0.05,inf,inf,0,0.363673806,1,0.464579901,1,0,1,0,0.363673806,0,0.464579901,0,0
0.051,inf,inf,0,0.363673806,1,0.462932455,1,0,1,0,0.363673806,0,0.462932455,0,0
0.052,inf,inf,0,0.363673806,1,0.459637562,1,0,1,0,0.363673806,0,0.459637562,0,0
0.053,inf,inf,0,0.363673806,1,0.457166392,1,0,1,0,0.363673806,0,0.457166392,0,0
0.054,inf,inf,0,0.363673806,1,0.454695222,1,0,1,0,0.363673806,0,0.454695222,0,0
0.055,inf,inf,0,0.363673806,1,0.452635914,1,0,1,0,0.363673806,0,0.452635914,0,0
0.056,inf,inf,0,0.363673806,1,0.450164745,1,0,1,0,0.363673806,0,0.450164745,0,0
0.057,inf,inf,0,0.363673806,1,0.448517298,1,0,1,0,0.363673806,0,0.448517298,0,0
0.058,inf,inf,0,0.363673806,1,0.445634267,1,0,1,0,0.363673806,0,0.445634267,0,0
0.059,inf,inf,0,0.363673806,1,0.443574959,1,0,1,0,0.363673806,0,0.443574959,0,0
0.06,inf,inf,0,0.363673806,1,0.443163097,1,0,1,0,0.363673806,0,0.443163097,0,0
0.061,inf,inf,0,0.363673806,1,0.441927512,1,0,1,0,0.363673806,0,0.441927512,0,0
0.062,inf,inf,0,0.363673806,1,0.440280066,1,0,1,0,0.363673806,0,0.440280066,0,0
0.063,inf,inf,0,0.363673806,1,0.439456343,1,0,1,0,0.363673806,0,0.439456343,0,0
0.064,inf,inf,0,0.363673806,1,0.438220758,1,0,1,0,0.363673806,0,0.438220758,0,0
0.065,inf,inf,0,0.363673806,1,0.437808896,1,0,1,0,0.363673806,0,0.437808896,0,0
0.066,inf,inf,0,0.363261944,1,0.437397035,1,0,1,0,0.363261944,0,0.437397035,0,0
0.067,inf,inf,0,0.363261944,1,0.437397035,1,0,1,0,0.363261944,0,0.437397035,0,0
0.068,inf,inf,0,0.363261944,1,0.435749588,1,0,1,0,0.363261944,0,0.435749588,0,0
0.069,inf,inf,0,0.363261944,1,0.435749588,1,0,1,0,0.363261944,0,0.435749588,0,0
0.07,inf,inf,0,0.362850082,1,0.43369028,1,0,1,0,0.362850082,0,0.43369028,0,0
0.071,inf,inf,0,0.362850082,1,0.432454695,1,0,1,0,0.362850082,0,0.432454695,0,0
0.072,inf,inf,0,0.362850082,1,0.431630972,1,0,1,0,0.362850082,0,0.431630972,0,0
0.073,inf,inf,0,0.362850082,1,0.43121911,1,0,1,0,0.362850082,0,0.43121911,0,0
0.074,inf,inf,0,0.362026359,1,0.430807249,1,0,1,0,0.362026359,0,0.430807249,0,0
0.075,inf,inf,0,0.362026359,1,0.429159802,1,0,1,0,0.362026359,0,0.429159802,0,0
0.076,inf,inf,0,0.362026359,1,0.428336079,1,0,1,0,0.362026359,0,0.428336079,0,0
0.077,inf,inf,0,0.362026359,1,0.428336079,1,0,1,0,0.362026359,0,0.428336079,0,0
0.078,inf,inf,0,0.362026359,1,0.427924217,1,0,1,0,0.362026359,0,0.427924217,0,0
0.079,inf,inf,0,0.362026359,1,0.427512356,1,0,1,0,0.362026359,0,0.427512356,0,0
0.08,inf,inf,0,0.362026359,1,0.427512356,1,0,1,0,0.362026359,0,0.427512356,0,0
0.081,inf,inf,0,0.362026359,1,0.427512356,1,0,1,0,0.362026359,0,0.427512356,0,0
0.082,inf,inf,0,0.362026359,1,0.427512356,1,0,1,0,0.362026359,0,0.427512356,0,0
0.083,inf,inf,0,0.362026359,1,0.426276771,1,0,1,0,0.362026359,0,0.426276771,0,0
0.084,inf,inf,0,0.362026359,1,0.425864909,1,0,1,0,0.362026359,0,0.425864909,0,0
0.085,inf,inf,0,0.362026359,1,0.425041186,1,0,1,0,0.362026359,0,0.425041186,0,0
0.086,inf,inf,0,0.362026359,1,0.424629325,1,0,1,0,0.362026359,0,0.424629325,0,0
0.087,inf,inf,0,0.361614498,1,0.423805601,1,0,1,0,0.361614498,0,0.423805601,0,0
0.088,inf,inf,0,0.361614498,1,0.422981878,1,0,1,0,0.361614498,0,0.422981878,0,0
0.089,inf,inf,0,0.361614498,1,0.422981878,1,0,1,0,0.361614498,0,0.422981878,0,0
0.09,inf,inf,0,0.361614498,1,0.422981878,1,0,1,0,0.361614498,0,0.422981878,0,0
0.091,inf,inf,0,0.361614498,1,0.422158155,1,0,1,0,0.361614498,0,0.422158155,0,0
0.092,inf,inf,0,0.361614498,1,0.421746293,1,0,1,0,0.361614498,0,0.421746293,0,0
0.093,inf,inf,0,0.361614498,1,0.421746293,1,0,1,0,0.361614498,0,0.421746293,0,0
0.094,inf,inf,0,0.361614498,1,0.421746293,1,0,1,0,0.361614498,0,0.421746293,0,0
0.095,inf,inf,0,0.361614498,1,0.42092257,1,0,1,0,0.361614498,0,0.42092257,0,0
0.096,inf,inf,0,0.361614498,1,0.42092257,1,0,1,0,0.361614498,0,0.42092257,0,0
0.097,inf,inf,0,0.361614498,1,0.42092257,1,0,1,0,0.361614498,0,0.42092257,0,0
0.098,inf,inf,0,0.361614498,1,0.42092257,1,0,1,0,0.361614498,0,0.42092257,0,0
0.099,inf,inf,0,0.361614498,1,0.420510708,1,0,1,0,0.361614498,0,0.420510708,0,0
0.1,inf,inf,0,0.361614498,1,0.419686985,1,0,0,0,0.361614498,0,0.419686985,1,0
0.101,inf,inf,0,0.361614498,1,0.419275124,1,,,0,0.361614498,0,0.419275124,,
