,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.0800713863100251,0.9766056454077601
1,0.001,3617.0,1553.0,875.0,0.0,1.0,0.6396210873146623,0.1447477253928867,0.3603789126853377,0.0,0.0,inf,inf,0.7176550863597293,0.3603789126853377,0.3603789126853377,0.3603789126853377,,
2,0.002,3617.0,1553.0,875.0,0.0,1.0,0.6396210873146623,0.1447477253928867,0.3603789126853377,0.0,0.0,inf,inf,0.7176550863597293,0.3603789126853377,0.3603789126853377,0.3603789126853377,,
3,0.003,3617.0,1584.0,844.0,0.0,1.0,0.6523887973640856,0.13961952026468155,0.34761120263591433,0.0,0.0,inf,inf,0.727296320112082,0.34761120263591433,0.34761120263591433,0.34761120263591433,,
4,0.004,3617.0,1584.0,844.0,0.0,1.0,0.6523887973640856,0.13961952026468155,0.34761120263591433,0.0,0.0,inf,inf,0.727296320112082,0.34761120263591433,0.34761120263591433,0.34761120263591433,,
5,0.005,3617.0,1584.0,844.0,0.0,1.0,0.6523887973640856,0.13961952026468155,0.34761120263591433,0.0,0.0,inf,inf,0.727296320112082,0.34761120263591433,0.34761120263591433,0.34761120263591433,,
6,0.006,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
7,0.007,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
8,0.008,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
9,0.009,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
10,0.01,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
11,0.011,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
12,0.012,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
13,0.013,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
14,0.014,3617.0,1618.0,810.0,0.0,1.0,0.6663920922570017,0.13399503722084366,0.33360790774299837,0.0,0.0,inf,inf,0.7378777432404607,0.33360790774299837,0.33360790774299837,0.33360790774299837,,
