,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.08205531357278158,0.9201079562508913
1,0.001,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
2,0.002,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
3,0.003,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
4,0.004,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
5,0.005,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
6,0.006,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
7,0.007,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
8,0.008,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
9,0.009,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
10,0.01,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
11,0.011,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
12,0.012,3617.0,2.0,2426.0,0.0,1.0,0.0008237232289950577,0.4013234077750207,0.999176276771005,0.0,0.0,inf,inf,0.022204378096034583,0.999176276771005,0.999176276771005,0.999176276771005,,
13,0.013,3617.0,2.0,2426.0,0.0,1.0,0.0008237232289950577,0.4013234077750207,0.999176276771005,0.0,0.0,inf,inf,0.022204378096034583,0.999176276771005,0.999176276771005,0.999176276771005,,
14,0.014,3617.0,3.0,2425.0,0.0,1.0,0.0012355848434925864,0.4011579818031431,0.9987644151565074,0.0,0.0,inf,inf,0.027196948573996762,0.9987644151565074,0.9987644151565074,0.9987644151565074,,
15,0.015,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
16,0.016,3617.0,6.0,2422.0,0.0,1.0,0.002471169686985173,0.4006617038875103,0.9975288303130149,0.0,0.0,inf,inf,0.03847184581812153,0.9975288303130149,0.9975288303130149,0.9975288303130149,,
17,0.017,3617.0,6.0,2422.0,0.0,1.0,0.002471169686985173,0.4006617038875103,0.9975288303130149,0.0,0.0,inf,inf,0.03847184581812153,0.9975288303130149,0.9975288303130149,0.9975288303130149,,
18,0.018,3617.0,7.0,2421.0,0.0,1.0,0.002883031301482702,0.40049627791563275,0.9971169686985173,0.0,0.0,inf,inf,0.04155778374873329,0.9971169686985173,0.9971169686985173,0.9971169686985173,,
19,0.019,3617.0,9.0,2419.0,0.0,1.0,0.0037067545304777594,0.4001654259718776,0.9962932454695222,0.0,0.0,inf,inf,0.04712990369734714,0.9962932454695222,0.9962932454695222,0.9962932454695222,,
20,0.02,3617.0,11.0,2417.0,0.0,1.0,0.004530477759472817,0.3998345740281224,0.9954695222405272,0.0,0.0,inf,inf,0.05211270335385984,0.9954695222405272,0.9954695222405272,0.9954695222405272,,
21,0.021,3617.0,12.0,2416.0,0.0,1.0,0.004942339373970346,0.3996691480562448,0.9950576606260296,0.0,0.0,inf,inf,0.0544344543032354,0.9950576606260296,0.9950576606260296,0.9950576606260296,,
22,0.022,3617.0,14.0,2414.0,0.0,1.0,0.005766062602965404,0.39933829611248967,0.9942339373970346,0.0,0.0,inf,inf,0.05880567871050545,0.9942339373970346,0.9942339373970346,0.9942339373970346,,
23,0.023,3617.0,16.0,2412.0,0.0,1.0,0.006589785831960461,0.3990074441687345,0.9934102141680395,0.0,0.0,inf,inf,0.06287634128416372,0.9934102141680395,0.9934102141680395,0.9934102141680395,,
24,0.024,3617.0,17.0,2411.0,0.0,1.0,0.00700164744645799,0.3988420181968569,0.992998352553542,0.0,0.0,inf,inf,0.06481682476052741,0.992998352553542,0.992998352553542,0.992998352553542,,
25,0.025,3617.0,18.0,2410.0,0.0,1.0,0.007413509060955519,0.3986765922249793,0.9925864909390445,0.0,0.0,inf,inf,0.06670149530759766,0.9925864909390445,0.9925864909390445,0.9925864909390445,,
26,0.026,3617.0,21.0,2407.0,0.0,1.0,0.008649093904448105,0.3981803143093466,0.9913509060955519,0.0,0.0,inf,inf,0.07206378668461824,0.9913509060955519,0.9913509060955519,0.9913509060955519,,
27,0.027,3617.0,21.0,2407.0,0.0,1.0,0.008649093904448105,0.3981803143093466,0.9913509060955519,0.0,0.0,inf,inf,0.07206378668461824,0.9913509060955519,0.9913509060955519,0.9913509060955519,,
28,0.028,3617.0,25.0,2403.0,0.0,1.0,0.01029654036243822,0.3975186104218362,0.9897034596375618,0.0,0.0,inf,inf,0.07865415539744582,0.9897034596375618,0.9897034596375618,0.9897034596375618,,
29,0.029,3617.0,28.0,2400.0,0.0,1.0,0.011532125205930808,0.3970223325062035,0.9884678747940692,0.0,0.0,inf,inf,0.0832604824580527,0.9884678747940692,0.9884678747940692,0.9884678747940692,,
30,0.03,3617.0,32.0,2396.0,0.0,1.0,0.013179571663920923,0.39636062861869314,0.9868204283360791,0.0,0.0,inf,inf,0.08903880044172566,0.9868204283360791,0.9868204283360791,0.9868204283360791,,
31,0.031,3617.0,33.0,2395.0,0.0,1.0,0.013591433278418451,0.39619520264681557,0.9864085667215815,0.0,0.0,inf,inf,0.09042684887803272,0.9864085667215815,0.9864085667215815,0.9864085667215815,,
32,0.032,3617.0,33.0,2395.0,0.0,1.0,0.013591433278418451,0.39619520264681557,0.9864085667215815,0.0,0.0,inf,inf,0.09042684887803272,0.9864085667215815,0.9864085667215815,0.9864085667215815,,
33,0.033,3617.0,38.0,2390.0,0.0,1.0,0.015650741350906095,0.39536807278742764,0.984349258649094,0.0,0.0,inf,inf,0.09707622855877145,0.984349258649094,0.984349258649094,0.984349258649094,,
34,0.034,3617.0,39.0,2389.0,0.0,1.0,0.016062602965403624,0.39520264681555006,0.9839373970345964,0.0,0.0,inf,inf,0.09835343963764355,0.9839373970345964,0.9839373970345964,0.9839373970345964,,
35,0.035,3617.0,40.0,2388.0,0.0,1.0,0.016474464579901153,0.39503722084367243,0.9835255354200988,0.0,0.0,inf,inf,0.09961469348587675,0.9835255354200988,0.9835255354200988,0.9835255354200988,,
36,0.036,3617.0,43.0,2385.0,0.0,1.0,0.01771004942339374,0.3945409429280397,0.9822899505766063,0.0,0.0,inf,inf,0.10330852131944451,0.9822899505766063,0.9822899505766063,0.9822899505766063,,
