,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
2,0.002,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
3,0.003,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
4,0.004,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
5,0.005,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
6,0.006,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
7,0.007,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
8,0.008,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
9,0.009,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
10,0.01,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
11,0.011,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
12,0.012,3617.0,2.0,2426.0,0.0,0.4013234077750207,0.0,0.4013234077750207
13,0.013,3617.0,2.0,2426.0,0.0,0.4013234077750207,0.0,0.4013234077750207
14,0.014,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
15,0.015,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
16,0.016,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
17,0.017,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
18,0.018,3617.0,7.0,2421.0,0.0,0.40049627791563275,0.0,0.40049627791563275
19,0.019,3617.0,9.0,2419.0,0.0,0.4001654259718776,0.0,0.4001654259718776
20,0.02,3617.0,11.0,2417.0,0.0,0.3998345740281224,0.0,0.3998345740281224
21,0.021,3617.0,12.0,2416.0,0.0,0.3996691480562448,0.0,0.3996691480562448
22,0.022,3617.0,14.0,2414.0,0.0,0.39933829611248967,0.0,0.39933829611248967
23,0.023,3617.0,16.0,2412.0,0.0,0.3990074441687345,0.0,0.3990074441687345
24,0.024,3617.0,17.0,2411.0,0.0,0.3988420181968569,0.0,0.3988420181968569
25,0.025,3617.0,18.0,2410.0,0.0,0.3986765922249793,0.0,0.3986765922249793
26,0.026,3617.0,21.0,2407.0,0.0,0.3981803143093466,0.0,0.3981803143093466
27,0.027,3617.0,21.0,2407.0,0.0,0.3981803143093466,0.0,0.3981803143093466
28,0.028,3617.0,25.0,2403.0,0.0,0.3975186104218362,0.0,0.3975186104218362
29,0.029,3617.0,28.0,2400.0,0.0,0.3970223325062035,0.0,0.3970223325062035
30,0.03,3617.0,32.0,2396.0,0.0,0.39636062861869314,0.0,0.39636062861869314
31,0.031,3617.0,33.0,2395.0,0.0,0.39619520264681557,0.0,0.39619520264681557
32,0.032,3617.0,33.0,2395.0,0.0,0.39619520264681557,0.0,0.39619520264681557
33,0.033,3617.0,38.0,2390.0,0.0,0.39536807278742764,0.0,0.39536807278742764
34,0.034,3617.0,39.0,2389.0,0.0,0.39520264681555006,0.0,0.39520264681555006
35,0.035,3617.0,40.0,2388.0,0.0,0.39503722084367243,0.0,0.39503722084367243
36,0.036,3617.0,43.0,2385.0,0.0,0.3945409429280397,0.0,0.3945409429280397
37,0.037,3617.0,43.0,2385.0,0.0,0.3945409429280397,0.0,0.3945409429280397
38,0.038,3617.0,43.0,2385.0,0.0,0.3945409429280397,0.0,0.3945409429280397
39,0.039,3617.0,44.0,2384.0,0.0,0.39437551695616213,0.0,0.39437551695616213
40,0.04,3617.0,46.0,2382.0,0.0,0.3940446650124069,0.0,0.3940446650124069
41,0.041,3617.0,48.0,2380.0,0.0,0.3937138130686518,0.0,0.3937138130686518
42,0.042,3617.0,49.0,2379.0,0.0,0.3935483870967742,0.0,0.3935483870967742
43,0.043,3617.0,50.0,2378.0,0.0,0.3933829611248966,0.0,0.3933829611248966
44,0.044,3617.0,50.0,2378.0,0.0,0.3933829611248966,0.0,0.3933829611248966
45,0.045,3617.0,51.0,2377.0,0.0,0.39321753515301905,0.0,0.39321753515301905
46,0.046,3617.0,54.0,2374.0,0.0,0.39272125723738627,0.0,0.39272125723738627
47,0.047,3617.0,57.0,2371.0,0.0,0.39222497932175354,0.0,0.39222497932175354
48,0.048,3617.0,59.0,2369.0,0.0,0.39189412737799834,0.0,0.39189412737799834
49,0.049,3617.0,59.0,2369.0,0.0,0.39189412737799834,0.0,0.39189412737799834
50,0.05,3617.0,63.0,2365.0,0.0,0.391232423490488,0.0,0.391232423490488
51,0.051,3617.0,63.0,2365.0,0.0,0.391232423490488,0.0,0.391232423490488
52,0.052,3617.0,66.0,2362.0,0.0,0.39073614557485525,0.0,0.39073614557485525
53,0.053,3617.0,67.0,2361.0,0.0,0.3905707196029777,0.0,0.3905707196029777
54,0.054,3617.0,68.0,2360.0,0.0,0.3904052936311001,0.0,0.3904052936311001
55,0.055,3617.0,69.0,2359.0,0.0,0.3902398676592225,0.0,0.3902398676592225
56,0.056,3617.0,69.0,2359.0,0.0,0.3902398676592225,0.0,0.3902398676592225
