,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.05265269851912011,0.9478091512758485
1,0.001,3617.0,1690.0,738.0,0.0,1.0,0.6960461285008237,0.12208436724565756,0.3039538714991763,0.0,0.0,inf,inf,0.7603248515334431,0.3039538714991763,0.3039538714991763,0.3039538714991763,,
2,0.002,3617.0,1690.0,738.0,0.0,1.0,0.6960461285008237,0.12208436724565756,0.3039538714991763,0.0,0.0,inf,inf,0.7603248515334431,0.3039538714991763,0.3039538714991763,0.3039538714991763,,
3,0.003,3617.0,1691.0,737.0,0.0,1.0,0.6964579901153213,0.12191894127377999,0.3035420098846787,0.0,0.0,inf,inf,0.7606371006350218,0.3035420098846787,0.3035420098846787,0.3035420098846787,,
4,0.004,3617.0,1707.0,721.0,0.0,1.0,0.7030477759472817,0.11927212572373863,0.29695222405271826,0.0,0.0,inf,inf,0.7656352141481528,0.29695222405271826,0.29695222405271826,0.29695222405271826,,
5,0.005,3617.0,1711.0,717.0,0.0,1.0,0.7046952224052718,0.11861042183622829,0.2953047775947282,0.0,0.0,inf,inf,0.7668853906907971,0.2953047775947282,0.2953047775947282,0.2953047775947282,,
6,0.006,3617.0,1718.0,710.0,0.0,1.0,0.7075782537067545,0.11745244003308519,0.29242174629324547,0.0,0.0,inf,inf,0.769073851017726,0.29242174629324547,0.29242174629324547,0.29242174629324547,,
7,0.007,3617.0,1731.0,697.0,0.0,1.0,0.7129324546952224,0.11530190239867659,0.28706754530477757,0.0,0.0,inf,inf,0.773140416138858,0.28706754530477757,0.28706754530477757,0.28706754530477757,,
8,0.008,3617.0,1750.0,678.0,0.0,1.0,0.7207578253706755,0.11215880893300248,0.27924217462932455,0.0,0.0,inf,inf,0.7790895038650995,0.27924217462932455,0.27924217462932455,0.27924217462932455,,
9,0.009,3617.0,1751.0,677.0,0.0,1.0,0.721169686985173,0.11199338296112489,0.278830313014827,0.0,0.0,inf,inf,0.7794028080955336,0.278830313014827,0.278830313014827,0.278830313014827,,
10,0.01,3617.0,1754.0,674.0,0.0,1.0,0.7224052718286655,0.11149710504549214,0.2775947281713344,0.0,0.0,inf,inf,0.7803428409850666,0.2775947281713344,0.2775947281713344,0.2775947281713344,,
11,0.011,3617.0,1755.0,673.0,0.0,1.0,0.7228171334431631,0.11133167907361456,0.2771828665568369,0.0,0.0,inf,inf,0.7806562256070226,0.2771828665568369,0.2771828665568369,0.2771828665568369,,
12,0.012,3616.0,1757.0,671.0,1.0,0.9997235277854576,0.7236408566721582,0.11100082712985938,0.27635914332784184,0.00016542597187758478,0.0002764722145424385,999.5910214168039,1670.5910214168039,0.7808534626690042,0.27635928162047324,0.27635919283904925,0.2773576104834661,,
13,0.013,3616.0,1759.0,669.0,1.0,0.9997235277854576,0.7244645799011532,0.11066997518610422,0.2755354200988468,0.00016542597187758478,0.0002764722145424385,996.6116144975289,1665.611614497529,0.7814806648022168,0.2755355588049089,0.27553546975806975,0.27653686141497924,,
14,0.014,3616.0,1763.0,665.0,1.0,0.9997235277854576,0.7261120263591433,0.11000827129859388,0.27388797364085665,0.00016542597187758478,0.0002764722145424385,990.6528006589784,1655.6528006589785,0.7827353159264734,0.2738881131812405,0.2738880235987816,0.2748954166538504,,
15,0.015,3616.0,1763.0,665.0,1.0,0.9997235277854576,0.7261120263591433,0.11000827129859388,0.27388797364085665,0.00016542597187758478,0.0002764722145424385,990.6528006589784,1655.6528006589785,0.7827353159264734,0.2738881131812405,0.2738880235987816,0.2748954166538504,,
16,0.016,3616.0,1764.0,664.0,1.0,0.9997235277854576,0.7265238879736409,0.1098428453267163,0.27347611202635913,0.00016542597187758478,0.0002764722145424385,989.163097199341,1653.1630971993409,0.7830490305896508,0.27347625177689405,0.2734761620595219,0.2744850666999084,,
17,0.017,3615.0,1768.0,660.0,2.0,0.9994470555709152,0.728171334431631,0.10918114143920596,0.27182866556836904,0.00033085194375516956,0.000552944429084877,491.6021416803954,821.6021416803954,0.7838763646786167,0.2718292279579624,0.27182886691388924,0.273854717935091,,
18,0.018,3615.0,1772.0,656.0,2.0,0.9994470555709152,0.729818780889621,0.10851943755169562,0.2701812191103789,0.00033085194375516956,0.000552944429084877,488.6227347611202,816.6227347611202,0.7851323480509427,0.27018178492916994,0.27018142168361475,0.27221953322750114,,
19,0.019,3615.0,1787.0,641.0,2.0,0.9994470555709152,0.735996705107084,0.10603804797353185,0.26400329489291596,0.00033085194375516956,0.000552944429084877,477.4499588138385,797.9499588138385,0.7898453824204843,0.26400387395236763,0.2640035022065515,0.26608893781016896,,
20,0.02,3615.0,1789.0,639.0,2.0,0.9994470555709152,0.7368204283360791,0.10570719602977667,0.2631795716639209,0.00033085194375516956,0.000552944429084877,475.96025535420097,795.460255354201,0.7904741656424165,0.2631801525357612,0.2631797796264249,0.26527169101099524,,
21,0.021,3615.0,1789.0,639.0,2.0,0.9994470555709152,0.7368204283360791,0.10570719602977667,0.2631795716639209,0.00033085194375516956,0.000552944429084877,475.96025535420097,795.460255354201,0.7904741656424165,0.2631801525357612,0.2631797796264249,0.26527169101099524,,
22,0.022,3615.0,1792.0,636.0,2.0,0.9994470555709152,0.7380560131795717,0.10521091811414392,0.26194398682042835,0.00033085194375516956,0.000552944429084877,473.72570016474464,791.7257001647447,0.791417511381702,0.2619445704322241,0.2619441957638868,0.2640458962794324,,
