,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.041388847010661284,0.959739587769454
1,0.001,3617.0,889.0,1539.0,0.0,1.0,0.36614497528830314,0.254590570719603,0.6338550247116969,0.0,0.0,inf,inf,0.5068090242366163,0.6338550247116969,0.6338550247116969,0.6338550247116969,,
2,0.002,3617.0,1011.0,1417.0,0.0,1.0,0.41639209225700163,0.23440860215053763,0.5836079077429983,0.0,0.0,inf,inf,0.546976773838803,0.5836079077429983,0.5836079077429983,0.5836079077429983,,
3,0.003,3617.0,1080.0,1348.0,0.0,1.0,0.44481054365733114,0.22299421009098427,0.5551894563426688,0.0,0.0,inf,inf,0.5692488533860058,0.5551894563426688,0.5551894563426688,0.5551894563426688,,
4,0.004,3617.0,1133.0,1295.0,0.0,1.0,0.4666392092257002,0.2142266335814723,0.5333607907742999,0.0,0.0,inf,inf,0.586186333605184,0.5333607907742999,0.5333607907742999,0.5333607907742999,,
5,0.005,3617.0,1179.0,1249.0,0.0,1.0,0.4855848434925865,0.20661703887510338,0.5144151565074135,0.0,0.0,inf,inf,0.6007873274685746,0.5144151565074135,0.5144151565074135,0.5144151565074135,,
6,0.006,3617.0,1212.0,1216.0,0.0,1.0,0.49917627677100496,0.2011579818031431,0.500823723228995,0.0,0.0,inf,inf,0.611213341668747,0.500823723228995,0.500823723228995,0.500823723228995,,
7,0.007,3617.0,1240.0,1188.0,0.0,1.0,0.5107084019769358,0.1965260545905707,0.48929159802306427,0.0,0.0,inf,inf,0.6200319366670661,0.48929159802306427,0.48929159802306427,0.48929159802306427,,
8,0.008,3617.0,1264.0,1164.0,0.0,1.0,0.5205930807248764,0.19255583126550868,0.4794069192751236,0.0,0.0,inf,inf,0.6275727508585262,0.4794069192751236,0.4794069192751236,0.4794069192751236,,
9,0.009,3617.0,1282.0,1146.0,0.0,1.0,0.5280065897858319,0.18957816377171216,0.471993410214168,0.0,0.0,inf,inf,0.6332185588583688,0.471993410214168,0.471993410214168,0.471993410214168,,
10,0.01,3617.0,1302.0,1126.0,0.0,1.0,0.5362438220757826,0.18626964433416046,0.46375617792421747,0.0,0.0,inf,inf,0.6394827633379883,0.46375617792421747,0.46375617792421747,0.46375617792421747,,
11,0.011,3617.0,1321.0,1107.0,0.0,1.0,0.5440691927512356,0.18312655086848637,0.4559308072487644,0.0,0.0,inf,inf,0.6454258829004191,0.4559308072487644,0.4559308072487644,0.4559308072487644,,
12,0.012,3617.0,1336.0,1092.0,0.0,1.0,0.5502471169686985,0.18064516129032257,0.4497528830313015,0.0,0.0,inf,inf,0.6501129199457222,0.4497528830313015,0.4497528830313015,0.4497528830313015,,
13,0.013,3617.0,1351.0,1077.0,0.0,1.0,0.5564250411861614,0.1781637717121588,0.44357495881383857,0.0,0.0,inf,inf,0.654796041186851,0.44357495881383857,0.44357495881383857,0.44357495881383857,,
14,0.014,3617.0,1367.0,1061.0,0.0,1.0,0.5630148270181219,0.17551695616211746,0.4369851729818781,0.0,0.0,inf,inf,0.6597874671282487,0.4369851729818781,0.4369851729818781,0.4369851729818781,,
15,0.015,3617.0,1383.0,1045.0,0.0,1.0,0.5696046128500823,0.1728701406120761,0.43039538714991765,0.0,0.0,inf,inf,0.6647752907485195,0.43039538714991765,0.43039538714991765,0.43039538714991765,,
16,0.016,3617.0,1392.0,1036.0,0.0,1.0,0.5733113673805601,0.17138130686517783,0.42668863261943984,0.0,0.0,inf,inf,0.6675795194181025,0.42668863261943984,0.42668863261943984,0.42668863261943984,,
17,0.017,3617.0,1407.0,1021.0,0.0,1.0,0.5794892915980231,0.16889991728701406,0.42051070840197696,0.0,0.0,inf,inf,0.6722512055933735,0.42051070840197696,0.42051070840197696,0.42051070840197696,,
18,0.018,3617.0,1416.0,1012.0,0.0,1.0,0.5831960461285008,0.1674110835401158,0.41680395387149916,0.0,0.0,inf,inf,0.675053120949971,0.41680395387149916,0.41680395387149916,0.41680395387149916,,
19,0.019,3617.0,1431.0,997.0,0.0,1.0,0.5893739703459637,0.16492969396195203,0.4106260296540362,0.0,0.0,inf,inf,0.679721387047538,0.4106260296540362,0.4106260296540362,0.4106260296540362,,
20,0.02,3617.0,1437.0,991.0,0.0,1.0,0.591845140032949,0.16393713813068653,0.4081548599670511,0.0,0.0,inf,inf,0.6815881983379235,0.4081548599670511,0.4081548599670511,0.4081548599670511,,
21,0.021,3617.0,1445.0,983.0,0.0,1.0,0.5951400329489291,0.16261373035566584,0.40485996705107086,0.0,0.0,inf,inf,0.6840768929536384,0.40485996705107086,0.40485996705107086,0.40485996705107086,,
22,0.022,3617.0,1453.0,975.0,0.0,1.0,0.5984349258649094,0.16129032258064516,0.4015650741350906,0.0,0.0,inf,inf,0.6865651906952039,0.4015650741350906,0.4015650741350906,0.4015650741350906,,
