,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,466.0,1962.0,0.0,0.3245657568238213,0.0,0.3245657568238213
2,0.002,3617.0,589.0,1839.0,0.0,0.3042183622828784,0.0,0.3042183622828784
3,0.003,3617.0,663.0,1765.0,0.0,0.2919768403639371,0.0,0.2919768403639371
4,0.004,3617.0,724.0,1704.0,0.0,0.2818858560794045,0.0,0.2818858560794045
5,0.005,3617.0,775.0,1653.0,0.0,0.27344913151364764,0.0,0.27344913151364764
6,0.006,3617.0,813.0,1615.0,0.0,0.26716294458229944,0.0,0.26716294458229944
7,0.007,3617.0,850.0,1578.0,0.0,0.26104218362282877,0.0,0.26104218362282877
8,0.008,3617.0,875.0,1553.0,0.0,0.25690653432588917,0.0,0.25690653432588917
9,0.009,3617.0,898.0,1530.0,0.0,0.2531017369727047,0.0,0.2531017369727047
10,0.01,3617.0,921.0,1507.0,0.0,0.24929693961952026,0.0,0.24929693961952026
11,0.011,3617.0,948.0,1480.0,0.0,0.24483043837882548,0.0,0.24483043837882548
12,0.012,3617.0,972.0,1456.0,0.0,0.24086021505376345,0.0,0.24086021505376345
13,0.013,3617.0,997.0,1431.0,0.0,0.23672456575682382,0.0,0.23672456575682382
14,0.014,3617.0,1009.0,1419.0,0.0,0.2347394540942928,0.0,0.2347394540942928
15,0.015,3617.0,1030.0,1398.0,0.0,0.23126550868486354,0.0,0.23126550868486354
16,0.016,3617.0,1048.0,1380.0,0.0,0.228287841191067,0.0,0.228287841191067
17,0.017,3617.0,1058.0,1370.0,0.0,0.22663358147229115,0.0,0.22663358147229115
18,0.018,3617.0,1068.0,1360.0,0.0,0.22497932175351532,0.0,0.22497932175351532
19,0.019,3617.0,1084.0,1344.0,0.0,0.22233250620347395,0.0,0.22233250620347395
20,0.02,3617.0,1093.0,1335.0,0.0,0.22084367245657568,0.0,0.22084367245657568
21,0.021,3617.0,1106.0,1322.0,0.0,0.21869313482216707,0.0,0.21869313482216707
22,0.022,3617.0,1121.0,1307.0,0.0,0.2162117452440033,0.0,0.2162117452440033
23,0.023,3617.0,1132.0,1296.0,0.0,0.2143920595533499,0.0,0.2143920595533499
24,0.024,3617.0,1144.0,1284.0,0.0,0.21240694789081885,0.0,0.21240694789081885
25,0.025,3617.0,1156.0,1272.0,0.0,0.21042183622828783,0.0,0.21042183622828783
26,0.026,3617.0,1164.0,1264.0,0.0,0.20909842845326718,0.0,0.20909842845326718
27,0.027,3617.0,1179.0,1249.0,0.0,0.20661703887510338,0.0,0.20661703887510338
28,0.028,3617.0,1189.0,1239.0,0.0,0.20496277915632755,0.0,0.20496277915632755
29,0.029,3617.0,1201.0,1227.0,0.0,0.20297766749379653,0.0,0.20297766749379653
30,0.03,3617.0,1208.0,1220.0,0.0,0.20181968569065342,0.0,0.20181968569065342
31,0.031,3617.0,1218.0,1210.0,0.0,0.2001654259718776,0.0,0.2001654259718776
32,0.032,3617.0,1224.0,1204.0,0.0,0.19917287014061208,0.0,0.19917287014061208
33,0.033,3617.0,1232.0,1196.0,0.0,0.1978494623655914,0.0,0.1978494623655914
34,0.034,3617.0,1237.0,1191.0,0.0,0.19702233250620346,0.0,0.19702233250620346
35,0.035,3617.0,1248.0,1180.0,0.0,0.19520264681555005,0.0,0.19520264681555005
36,0.036,3617.0,1255.0,1173.0,0.0,0.19404466501240694,0.0,0.19404466501240694
37,0.037,3617.0,1265.0,1163.0,0.0,0.1923904052936311,0.0,0.1923904052936311
38,0.038,3617.0,1268.0,1160.0,0.0,0.19189412737799835,0.0,0.19189412737799835
39,0.039,3617.0,1277.0,1151.0,0.0,0.1904052936311001,0.0,0.1904052936311001
40,0.04,3617.0,1279.0,1149.0,0.0,0.1900744416873449,0.0,0.1900744416873449
41,0.041,3617.0,1284.0,1144.0,0.0,0.18924731182795698,0.0,0.18924731182795698
42,0.042,3617.0,1291.0,1137.0,0.0,0.1880893300248139,0.0,0.1880893300248139
43,0.043,3617.0,1293.0,1135.0,0.0,0.18775847808105872,0.0,0.18775847808105872
44,0.044,3617.0,1301.0,1127.0,0.0,0.18643507030603804,0.0,0.18643507030603804
45,0.045,3617.0,1309.0,1119.0,0.0,0.18511166253101738,0.0,0.18511166253101738
46,0.046,3617.0,1315.0,1113.0,0.0,0.18411910669975187,0.0,0.18411910669975187
47,0.047,3617.0,1321.0,1107.0,0.0,0.18312655086848637,0.0,0.18312655086848637
48,0.048,3617.0,1330.0,1098.0,0.0,0.18163771712158808,0.0,0.18163771712158808
49,0.049,3617.0,1336.0,1092.0,0.0,0.18064516129032257,0.0,0.18064516129032257
50,0.05,3617.0,1342.0,1086.0,0.0,0.17965260545905706,0.0,0.17965260545905706
51,0.051,3617.0,1346.0,1082.0,0.0,0.17899090157154673,0.0,0.17899090157154673
52,0.052,3617.0,1352.0,1076.0,0.0,0.17799834574028123,0.0,0.17799834574028123
53,0.053,3617.0,1355.0,1073.0,0.0,0.17750206782464847,0.0,0.17750206782464847
54,0.054,3617.0,1358.0,1070.0,0.0,0.17700578990901572,0.0,0.17700578990901572
55,0.055,3617.0,1364.0,1064.0,0.0,0.1760132340777502,0.0,0.1760132340777502
56,0.056,3617.0,1370.0,1058.0,0.0,0.1750206782464847,0.0,0.1750206782464847
57,0.057,3617.0,1376.0,1052.0,0.0,0.1740281224152192,0.0,0.1740281224152192
58,0.058,3617.0,1381.0,1047.0,0.0,0.17320099255583127,0.0,0.17320099255583127
59,0.059,3617.0,1388.0,1040.0,0.0,0.17204301075268819,0.0,0.17204301075268819
60,0.06,3617.0,1392.0,1036.0,0.0,0.17138130686517783,0.0,0.17138130686517783
61,0.061,3617.0,1394.0,1034.0,0.0,0.17105045492142265,0.0,0.17105045492142265
62,0.062,3617.0,1399.0,1029.0,0.0,0.17022332506203475,0.0,0.17022332506203475
63,0.063,3617.0,1403.0,1025.0,0.0,0.1695616211745244,0.0,0.1695616211745244
64,0.064,3617.0,1409.0,1019.0,0.0,0.16856906534325888,0.0,0.16856906534325888
65,0.065,3617.0,1414.0,1014.0,0.0,0.16774193548387098,0.0,0.16774193548387098
66,0.066,3617.0,1417.0,1011.0,0.0,0.16724565756823823,0.0,0.16724565756823823
67,0.067,3617.0,1422.0,1006.0,0.0,0.1664185277088503,0.0,0.1664185277088503
68,0.068,3617.0,1430.0,998.0,0.0,0.1650951199338296,0.0,0.1650951199338296
69,0.069,3617.0,1436.0,992.0,0.0,0.1641025641025641,0.0,0.1641025641025641
70,0.07,3617.0,1441.0,987.0,0.0,0.16327543424317617,0.0,0.16327543424317617
71,0.071,3617.0,1443.0,985.0,0.0,0.16294458229942102,0.0,0.16294458229942102
72,0.072,3617.0,1447.0,981.0,0.0,0.16228287841191066,0.0,0.16228287841191066
73,0.073,3617.0,1450.0,978.0,0.0,0.1617866004962779,0.0,0.1617866004962779
74,0.074,3617.0,1453.0,975.0,0.0,0.16129032258064516,0.0,0.16129032258064516
75,0.075,3617.0,1456.0,972.0,0.0,0.1607940446650124,0.0,0.1607940446650124
76,0.076,3617.0,1460.0,968.0,0.0,0.16013234077750207,0.0,0.16013234077750207
77,0.077,3617.0,1464.0,964.0,0.0,0.15947063688999172,0.0,0.15947063688999172
78,0.078,3617.0,1466.0,962.0,0.0,0.15913978494623657,0.0,0.15913978494623657
79,0.079,3617.0,1468.0,960.0,0.0,0.1588089330024814,0.0,0.1588089330024814
80,0.08,3617.0,1472.0,956.0,0.0,0.15814722911497106,0.0,0.15814722911497106
81,0.081,3617.0,1474.0,954.0,0.0,0.15781637717121588,0.0,0.15781637717121588
82,0.082,3617.0,1478.0,950.0,0.0,0.15715467328370555,0.0,0.15715467328370555
83,0.083,3617.0,1481.0,947.0,0.0,0.1566583953680728,0.0,0.1566583953680728
84,0.084,3617.0,1484.0,944.0,0.0,0.15616211745244005,0.0,0.15616211745244005
85,0.085,3617.0,1486.0,942.0,0.0,0.15583126550868487,0.0,0.15583126550868487
86,0.086,3617.0,1488.0,940.0,0.0,0.1555004135649297,0.0,0.1555004135649297
87,0.087,3617.0,1494.0,934.0,0.0,0.15450785773366418,0.0,0.15450785773366418
88,0.088,3617.0,1498.0,930.0,0.0,0.15384615384615385,0.0,0.15384615384615385
89,0.089,3617.0,1500.0,928.0,0.0,0.15351530190239868,0.0,0.15351530190239868
90,0.09,3617.0,1503.0,925.0,0.0,0.15301902398676592,0.0,0.15301902398676592
91,0.091,3617.0,1505.0,923.0,0.0,0.15268817204301074,0.0,0.15268817204301074
92,0.092,3617.0,1505.0,923.0,0.0,0.15268817204301074,0.0,0.15268817204301074
93,0.093,3617.0,1506.0,922.0,0.0,0.15252274607113317,0.0,0.15252274607113317
94,0.094,3617.0,1510.0,918.0,0.0,0.15186104218362284,0.0,0.15186104218362284
95,0.095,3617.0,1512.0,916.0,0.0,0.15153019023986766,0.0,0.15153019023986766
96,0.096,3617.0,1514.0,914.0,0.0,0.15119933829611248,0.0,0.15119933829611248
97,0.097,3617.0,1520.0,908.0,0.0,0.15020678246484698,0.0,0.15020678246484698
98,0.098,3617.0,1522.0,906.0,0.0,0.1498759305210918,0.0,0.1498759305210918
99,0.099,3617.0,1525.0,903.0,0.0,0.14937965260545905,0.0,0.14937965260545905
100,0.1,3614.0,1544.0,884.0,3.0,0.14623655913978495,0.0004962779156327543,0.14623740123789591
101,0.101,3614.0,1544.0,884.0,3.0,0.14623655913978495,0.0004962779156327543,0.14623740123789591
102,0.102,3614.0,1547.0,881.0,3.0,0.1457402812241522,0.0004962779156327543,0.14574112618977703
103,0.103,3614.0,1550.0,878.0,3.0,0.14524400330851944,0.0004962779156327543,0.14524485116125374
104,0.104,3614.0,1552.0,876.0,3.0,0.14491315136476426,0.0004962779156327543,0.14491400115322406
105,0.105,3614.0,1553.0,875.0,3.0,0.1447477253928867,0.0004962779156327543,0.1447485761525276
106,0.106,3614.0,1553.0,875.0,3.0,0.1447477253928867,0.0004962779156327543,0.1447485761525276
107,0.107,3614.0,1554.0,874.0,3.0,0.1445822994210091,0.0004962779156327543,0.14458315115405346
108,0.108,3614.0,1557.0,871.0,3.0,0.14408602150537633,0.0004962779156327543,0.14408687617204183
109,0.109,3614.0,1562.0,866.0,3.0,0.14325889164598843,0.0004962779156327543,0.14325975124718945
110,0.11,3614.0,1564.0,864.0,3.0,0.14292803970223325,0.0004962779156327543,0.14292890129323987
111,0.111,3614.0,1567.0,861.0,3.0,0.1424317617866005,0.0004962779156327543,0.1424326263796482
112,0.112,3614.0,1567.0,861.0,3.0,0.1424317617866005,0.0004962779156327543,0.1424326263796482
113,0.113,3614.0,1570.0,858.0,3.0,0.14193548387096774,0.0004962779156327543,0.1419363514870496
114,0.114,3614.0,1571.0,857.0,3.0,0.14177005789909017,0.0004962779156327543,0.14177092652755333
115,0.115,3614.0,1576.0,852.0,3.0,0.14094292803970224,0.0004962779156327543,0.14094380176571877
116,0.116,3614.0,1577.0,851.0,3.0,0.14077750206782466,0.0004962779156327543,0.14077837682053987
117,0.117,3614.0,1577.0,851.0,3.0,0.14077750206782466,0.0004962779156327543,0.14077837682053987
118,0.118,3614.0,1577.0,851.0,3.0,0.14077750206782466,0.0004962779156327543,0.14077837682053987
119,0.119,3614.0,1580.0,848.0,3.0,0.1402812241521919,0.0004962779156327543,0.14028210199953184
120,0.12,3614.0,1581.0,847.0,3.0,0.1401157981803143,0.0004962779156327543,0.14011667706406727
121,0.121,3614.0,1583.0,845.0,3.0,0.13978494623655913,0.0004962779156327543,0.13978582720049723
122,0.122,3614.0,1584.0,844.0,3.0,0.13961952026468155,0.0004962779156327543,0.1396204022724092
123,0.123,3614.0,1587.0,841.0,3.0,0.1391232423490488,0.0004962779156327543,0.13912412750303849
124,0.124,3614.0,1588.0,840.0,3.0,0.13895781637717122,0.0004962779156327543,0.13895870258490894
125,0.125,3614.0,1588.0,840.0,3.0,0.13895781637717122,0.0004962779156327543,0.13895870258490894
126,0.126,3614.0,1588.0,840.0,3.0,0.13895781637717122,0.0004962779156327543,0.13895870258490894
127,0.127,3614.0,1590.0,838.0,3.0,0.13862696443341604,0.0004962779156327543,0.1386278527561945
128,0.128,3614.0,1592.0,836.0,3.0,0.13829611248966087,0.0004962779156327543,0.13829700293759978
129,0.129,3614.0,1593.0,835.0,3.0,0.1381306865177833,0.0004962779156327543,0.13813157803212003
130,0.13,3614.0,1596.0,832.0,3.0,0.13763440860215054,0.0004962779156327543,0.1376353033310614
131,0.131,3614.0,1598.0,830.0,3.0,0.13730355665839536,0.0004962779156327543,0.1373044535432654
132,0.132,3614.0,1600.0,828.0,3.0,0.1369727047146402,0.0004962779156327543,0.13697360376588463
133,0.133,3614.0,1604.0,824.0,3.0,0.13631100082712985,0.0004962779156327543,0.13631190424267184
134,0.134,3614.0,1606.0,822.0,3.0,0.1359801488833747,0.0004962779156327543,0.1359810544969934
135,0.135,3614.0,1607.0,821.0,3.0,0.1358147229114971,0.0004962779156327543,0.13581562962817012
136,0.136,3614.0,1609.0,819.0,3.0,0.13548387096774195,0.0004962779156327543,0.13548477989860447
137,0.137,3614.0,1609.0,819.0,3.0,0.13548387096774195,0.0004962779156327543,0.13548477989860447
138,0.138,3614.0,1609.0,819.0,3.0,0.13548387096774195,0.0004962779156327543,0.13548477989860447
139,0.139,3614.0,1611.0,817.0,3.0,0.13515301902398677,0.0004962779156327543,0.13515393017987926
140,0.14,3614.0,1614.0,814.0,3.0,0.13465674110835402,0.0004962779156327543,0.13465765562229212
141,0.141,3614.0,1614.0,814.0,3.0,0.13465674110835402,0.0004962779156327543,0.13465765562229212
142,0.142,3614.0,1615.0,813.0,3.0,0.1344913151364764,0.0004962779156327543,0.13449223077527026
