,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.05076100457340617,0.9495151260362588
1,0.001,3617.0,531.0,1897.0,0.0,1.0,0.21869851729818782,0.3138130686517783,0.7813014827018122,0.0,0.0,inf,inf,0.3787597252408881,0.7813014827018122,0.7813014827018122,0.7813014827018122,,
2,0.002,3617.0,652.0,1776.0,0.0,1.0,0.2685337726523888,0.29379652605459056,0.7314662273476112,0.0,0.0,inf,inf,0.4243835104380305,0.7314662273476112,0.7314662273476112,0.7314662273476112,,
3,0.003,3617.0,739.0,1689.0,0.0,1.0,0.3043657331136738,0.2794044665012407,0.6956342668863262,0.0,0.0,inf,inf,0.45550013450631704,0.6956342668863262,0.6956342668863262,0.6956342668863262,,
4,0.004,3617.0,806.0,1622.0,0.0,1.0,0.3319604612850082,0.2683209263854425,0.6680395387149918,0.0,0.0,inf,inf,0.4787328562325213,0.6680395387149918,0.6680395387149918,0.6680395387149918,,
5,0.005,3617.0,855.0,1573.0,0.0,1.0,0.3521416803953871,0.26021505376344084,0.6478583196046128,0.0,0.0,inf,inf,0.49539234523823517,0.6478583196046128,0.6478583196046128,0.6478583196046128,,
6,0.006,3617.0,892.0,1536.0,0.0,1.0,0.3673805601317957,0.2540942928039702,0.6326194398682042,0.0,0.0,inf,inf,0.5078111929107038,0.6326194398682042,0.6326194398682042,0.6326194398682042,,
7,0.007,3617.0,921.0,1507.0,0.0,1.0,0.37932454695222406,0.24929693961952026,0.6206754530477759,0.0,0.0,inf,inf,0.5174580740286864,0.6206754530477759,0.6206754530477759,0.6206754530477759,,
8,0.008,3617.0,964.0,1464.0,0.0,1.0,0.3970345963756178,0.2421836228287841,0.6029654036243822,0.0,0.0,inf,inf,0.531635327874517,0.6029654036243822,0.6029654036243822,0.6029654036243822,,
9,0.009,3617.0,996.0,1432.0,0.0,1.0,0.4102141680395387,0.2368899917287014,0.5897858319604613,0.0,0.0,inf,inf,0.5420968666521038,0.5897858319604613,0.5897858319604613,0.5897858319604613,,
10,0.01,3617.0,1019.0,1409.0,0.0,1.0,0.41968698517298186,0.23308519437551695,0.5803130148270181,0.0,0.0,inf,inf,0.5495734744818874,0.5803130148270181,0.5803130148270181,0.5803130148270181,,
11,0.011,3617.0,1046.0,1382.0,0.0,1.0,0.4308072487644152,0.22861869313482217,0.5691927512355849,0.0,0.0,inf,inf,0.5583084321566901,0.5691927512355849,0.5691927512355849,0.5691927512355849,,
