,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,531.0,1897.0,0.0,0.3138130686517783,0.0,0.3138130686517783
2,0.002,3617.0,652.0,1776.0,0.0,0.29379652605459056,0.0,0.29379652605459056
3,0.003,3617.0,739.0,1689.0,0.0,0.2794044665012407,0.0,0.2794044665012407
4,0.004,3617.0,806.0,1622.0,0.0,0.2683209263854425,0.0,0.2683209263854425
5,0.005,3617.0,855.0,1573.0,0.0,0.26021505376344084,0.0,0.26021505376344084
6,0.006,3617.0,892.0,1536.0,0.0,0.2540942928039702,0.0,0.2540942928039702
7,0.007,3617.0,921.0,1507.0,0.0,0.24929693961952026,0.0,0.24929693961952026
8,0.008,3617.0,964.0,1464.0,0.0,0.2421836228287841,0.0,0.2421836228287841
9,0.009,3617.0,996.0,1432.0,0.0,0.2368899917287014,0.0,0.2368899917287014
10,0.01,3617.0,1019.0,1409.0,0.0,0.23308519437551695,0.0,0.23308519437551695
11,0.011,3617.0,1046.0,1382.0,0.0,0.22861869313482217,0.0,0.22861869313482217
12,0.012,3617.0,1060.0,1368.0,0.0,0.22630272952853597,0.0,0.22630272952853597
13,0.013,3617.0,1077.0,1351.0,0.0,0.22349048800661703,0.0,0.22349048800661703
14,0.014,3617.0,1091.0,1337.0,0.0,0.22117452440033086,0.0,0.22117452440033086
15,0.015,3617.0,1111.0,1317.0,0.0,0.21786600496277916,0.0,0.21786600496277916
16,0.016,3617.0,1130.0,1298.0,0.0,0.21472291149710504,0.0,0.21472291149710504
17,0.017,3617.0,1150.0,1278.0,0.0,0.21141439205955334,0.0,0.21141439205955334
18,0.018,3617.0,1161.0,1267.0,0.0,0.20959470636889993,0.0,0.20959470636889993
19,0.019,3617.0,1180.0,1248.0,0.0,0.2064516129032258,0.0,0.2064516129032258
20,0.02,3617.0,1197.0,1231.0,0.0,0.20363937138130686,0.0,0.20363937138130686
21,0.021,3617.0,1206.0,1222.0,0.0,0.2021505376344086,0.0,0.2021505376344086
22,0.022,3617.0,1219.0,1209.0,0.0,0.2,0.0,0.2
23,0.023,3617.0,1231.0,1197.0,0.0,0.19801488833746897,0.0,0.19801488833746897
24,0.024,3617.0,1244.0,1184.0,0.0,0.19586435070306038,0.0,0.19586435070306038
25,0.025,3617.0,1254.0,1174.0,0.0,0.19421009098428454,0.0,0.19421009098428454
26,0.026,3617.0,1266.0,1162.0,0.0,0.1922249793217535,0.0,0.1922249793217535
27,0.027,3617.0,1275.0,1153.0,0.0,0.19073614557485524,0.0,0.19073614557485524
28,0.028,3617.0,1279.0,1149.0,0.0,0.1900744416873449,0.0,0.1900744416873449
29,0.029,3617.0,1288.0,1140.0,0.0,0.18858560794044665,0.0,0.18858560794044665
30,0.03,3617.0,1292.0,1136.0,0.0,0.18792390405293632,0.0,0.18792390405293632
31,0.031,3617.0,1306.0,1122.0,0.0,0.18560794044665013,0.0,0.18560794044665013
32,0.032,3617.0,1313.0,1115.0,0.0,0.18444995864350702,0.0,0.18444995864350702
33,0.033,3617.0,1320.0,1108.0,0.0,0.18329197684036394,0.0,0.18329197684036394
34,0.034,3617.0,1331.0,1097.0,0.0,0.1814722911497105,0.0,0.1814722911497105
35,0.035,3617.0,1338.0,1090.0,0.0,0.18031430934656742,0.0,0.18031430934656742
36,0.036,3617.0,1345.0,1083.0,0.0,0.1791563275434243,0.0,0.1791563275434243
37,0.037,3617.0,1353.0,1075.0,0.0,0.17783291976840365,0.0,0.17783291976840365
38,0.038,3617.0,1362.0,1066.0,0.0,0.17634408602150536,0.0,0.17634408602150536
39,0.039,3617.0,1369.0,1059.0,0.0,0.17518610421836228,0.0,0.17518610421836228
40,0.04,3617.0,1379.0,1049.0,0.0,0.17353184449958645,0.0,0.17353184449958645
41,0.041,3617.0,1386.0,1042.0,0.0,0.17237386269644334,0.0,0.17237386269644334
42,0.042,3617.0,1392.0,1036.0,0.0,0.17138130686517783,0.0,0.17138130686517783
43,0.043,3617.0,1397.0,1031.0,0.0,0.1705541770057899,0.0,0.1705541770057899
44,0.044,3617.0,1404.0,1024.0,0.0,0.16939619520264682,0.0,0.16939619520264682
45,0.045,3617.0,1423.0,1005.0,0.0,0.1662531017369727,0.0,0.1662531017369727
46,0.046,3614.0,1429.0,999.0,3.0,0.16526054590570718,0.0004962779156327543,0.1652612910660627
47,0.047,3614.0,1437.0,991.0,3.0,0.16393713813068653,0.0004962779156327543,0.16393788930643624
48,0.048,3614.0,1444.0,984.0,3.0,0.16277915632754342,0.0004962779156327543,0.1627799128469983
49,0.049,3614.0,1448.0,980.0,3.0,0.1621174524400331,0.0004962779156327543,0.16211821204730806
50,0.05,3614.0,1452.0,976.0,3.0,0.16145574855252276,0.0004962779156327543,0.16145651127292762
51,0.051,3614.0,1456.0,972.0,3.0,0.1607940446650124,0.0004962779156327543,0.16079481052416944
52,0.052,3614.0,1461.0,967.0,3.0,0.15996691480562447,0.0004962779156327543,0.15996768462473746
53,0.053,3614.0,1467.0,961.0,3.0,0.15897435897435896,0.0004962779156327543,0.1589751335998114
54,0.054,3614.0,1472.0,956.0,3.0,0.15814722911497106,0.0004962779156327543,0.15814800779179197
55,0.055,3614.0,1477.0,951.0,3.0,0.15732009925558313,0.0004962779156327543,0.15732088202637332
56,0.056,3614.0,1481.0,947.0,3.0,0.1566583953680728,0.0004962779156327543,0.15665918144516444
