,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.048399831657116144,0.9524721717279631
1,0.001,3617.0,452.0,1976.0,0.0,1.0,0.18616144975288304,0.32688172043010755,0.8138385502471169,0.0,0.0,inf,inf,0.3469738307419895,0.8138385502471169,0.8138385502471169,0.8138385502471169,,
2,0.002,3617.0,571.0,1857.0,0.0,1.0,0.23517298187808897,0.30719602977667493,0.764827018121911,0.0,0.0,inf,inf,0.3941990476839463,0.764827018121911,0.764827018121911,0.764827018121911,,
3,0.003,3617.0,648.0,1780.0,0.0,1.0,0.26688632619439867,0.2944582299421009,0.7331136738056013,0.0,0.0,inf,inf,0.4229229054158155,0.7331136738056013,0.7331136738056013,0.7331136738056013,,
4,0.004,3617.0,704.0,1724.0,0.0,1.0,0.2899505766062603,0.28519437551695614,0.7100494233937397,0.0,0.0,inf,inf,0.4431236748327853,0.7100494233937397,0.7100494233937397,0.7100494233937397,,
5,0.005,3617.0,752.0,1676.0,0.0,1.0,0.30971993410214166,0.2772539288668321,0.6902800658978583,0.0,0.0,inf,inf,0.46005302055378217,0.6902800658978583,0.6902800658978583,0.6902800658978583,,
6,0.006,3617.0,797.0,1631.0,0.0,1.0,0.32825370675453047,0.26980976013234076,0.6717462932454695,0.0,0.0,inf,inf,0.4756441511102116,0.6717462932454695,0.6717462932454695,0.6717462932454695,,
7,0.007,3617.0,824.0,1604.0,0.0,1.0,0.3393739703459638,0.265343258891646,0.6606260296540363,0.0,0.0,inf,inf,0.4848826811392126,0.6606260296540363,0.6606260296540363,0.6606260296540363,,
8,0.008,3617.0,857.0,1571.0,0.0,1.0,0.3529654036243822,0.2598842018196857,0.6470345963756178,0.0,0.0,inf,inf,0.49606700357252287,0.6470345963756178,0.6470345963756178,0.6470345963756178,,
9,0.009,3617.0,878.0,1550.0,0.0,1.0,0.3616144975288303,0.2564102564102564,0.6383855024711697,0.0,0.0,inf,inf,0.5031273663884099,0.6383855024711697,0.6383855024711697,0.6383855024711697,,
10,0.01,3617.0,904.0,1524.0,0.0,1.0,0.3723228995057661,0.2521091811414392,0.627677100494234,0.0,0.0,inf,inf,0.5118118377183396,0.627677100494234,0.627677100494234,0.627677100494234,,
11,0.011,3617.0,923.0,1505.0,0.0,1.0,0.3801482701812191,0.24896608767576509,0.6198517298187809,0.0,0.0,inf,inf,0.5181207393982468,0.6198517298187809,0.6198517298187809,0.6198517298187809,,
12,0.012,3617.0,947.0,1481.0,0.0,1.0,0.3900329489291598,0.24499586435070306,0.6099670510708401,0.0,0.0,inf,inf,0.5260475316419991,0.6099670510708401,0.6099670510708401,0.6099670510708401,,
13,0.013,3617.0,970.0,1458.0,0.0,1.0,0.39950576606260296,0.2411910669975186,0.600494233937397,0.0,0.0,inf,inf,0.5336023788265443,0.600494233937397,0.600494233937397,0.600494233937397,,
14,0.014,3617.0,988.0,1440.0,0.0,1.0,0.40691927512355847,0.23821339950372208,0.5930807248764415,0.0,0.0,inf,inf,0.5394881486662125,0.5930807248764415,0.5930807248764415,0.5930807248764415,,
15,0.015,3617.0,1006.0,1422.0,0.0,1.0,0.414332784184514,0.23523573200992556,0.585667215815486,0.0,0.0,inf,inf,0.5453517666550699,0.585667215815486,0.585667215815486,0.585667215815486,,
16,0.016,3617.0,1023.0,1405.0,0.0,1.0,0.421334431630972,0.23242349048800662,0.578665568369028,0.0,0.0,inf,inf,0.5508703224429432,0.578665568369028,0.578665568369028,0.578665568369028,,
17,0.017,3617.0,1042.0,1386.0,0.0,1.0,0.42915980230642503,0.2292803970223325,0.570840197693575,0.0,0.0,inf,inf,0.5570170914472636,0.570840197693575,0.570840197693575,0.570840197693575,,
18,0.018,3617.0,1053.0,1375.0,0.0,1.0,0.4336902800658979,0.22746071133167908,0.5663097199341022,0.0,0.0,inf,inf,0.5605660741761833,0.5663097199341022,0.5663097199341022,0.5663097199341022,,
19,0.019,3617.0,1063.0,1365.0,0.0,1.0,0.43780889621087316,0.22580645161290322,0.5621911037891268,0.0,0.0,inf,inf,0.5637865148818755,0.5621911037891268,0.5621911037891268,0.5621911037891268,,
20,0.02,3617.0,1074.0,1354.0,0.0,1.0,0.44233937397034595,0.22398676592224978,0.557660626029654,0.0,0.0,inf,inf,0.5673227145925019,0.557660626029654,0.557660626029654,0.557660626029654,,
21,0.021,3617.0,1086.0,1342.0,0.0,1.0,0.4472817133443163,0.22200165425971877,0.5527182866556837,0.0,0.0,inf,inf,0.5711731341515687,0.5527182866556837,0.5527182866556837,0.5527182866556837,,
22,0.022,3617.0,1094.0,1334.0,0.0,1.0,0.45057660626029655,0.2206782464846981,0.5494233937397035,0.0,0.0,inf,inf,0.5737360128936577,0.5494233937397035,0.5494233937397035,0.5494233937397035,,
23,0.023,3617.0,1106.0,1322.0,0.0,1.0,0.45551894563426687,0.21869313482216707,0.5444810543657331,0.0,0.0,inf,inf,0.5775744371799449,0.5444810543657331,0.5444810543657331,0.5444810543657331,,
24,0.024,3617.0,1120.0,1308.0,0.0,1.0,0.4612850082372323,0.2163771712158809,0.5387149917627677,0.0,0.0,inf,inf,0.5820439871726809,0.5387149917627677,0.5387149917627677,0.5387149917627677,,
25,0.025,3617.0,1130.0,1298.0,0.0,1.0,0.46540362438220756,0.21472291149710504,0.5345963756177924,0.0,0.0,inf,inf,0.5852310686743295,0.5345963756177924,0.5345963756177924,0.5345963756177924,,
26,0.026,3617.0,1142.0,1286.0,0.0,1.0,0.47034596375617793,0.21273779983457403,0.5296540362438221,0.0,0.0,inf,inf,0.589049807650893,0.5296540362438221,0.5296540362438221,0.5296540362438221,,
27,0.027,3617.0,1153.0,1275.0,0.0,1.0,0.4748764415156507,0.2109181141439206,0.5251235584843492,0.0,0.0,inf,inf,0.5925450065814696,0.5251235584843492,0.5251235584843492,0.5251235584843492,,
28,0.028,3617.0,1161.0,1267.0,0.0,1.0,0.47817133443163096,0.20959470636889993,0.521828665568369,0.0,0.0,inf,inf,0.5950838929148711,0.521828665568369,0.521828665568369,0.521828665568369,,
29,0.029,3617.0,1172.0,1256.0,0.0,1.0,0.4827018121911038,0.2077750206782465,0.5172981878088962,0.0,0.0,inf,inf,0.5985707813091665,0.5172981878088962,0.5172981878088962,0.5172981878088962,,
30,0.03,3617.0,1183.0,1245.0,0.0,1.0,0.4872322899505766,0.20595533498759305,0.5127677100494233,0.0,0.0,inf,inf,0.6020531156658324,0.5127677100494233,0.5127677100494233,0.5127677100494233,,
