,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.04314173550764079,0.9571479454288504
1,0.001,3617.0,988.0,1440.0,0.0,1.0,0.40691927512355847,0.23821339950372208,0.5930807248764415,0.0,0.0,inf,inf,0.5394881486662125,0.5930807248764415,0.5930807248764415,0.5930807248764415,,
2,0.002,3617.0,1101.0,1327.0,0.0,1.0,0.45345963756177926,0.219520264681555,0.5465403624382208,0.0,0.0,inf,inf,0.5759759392344911,0.5465403624382208,0.5465403624382208,0.5465403624382208,,
3,0.003,3617.0,1186.0,1242.0,0.0,1.0,0.48846787479406917,0.2054590570719603,0.5115321252059308,0.0,0.0,inf,inf,0.6030020771680432,0.5115321252059308,0.5115321252059308,0.5115321252059308,,
4,0.004,3617.0,1236.0,1192.0,0.0,1.0,0.5090609555189456,0.19718775847808107,0.49093904448105435,0.0,0.0,inf,inf,0.6187735769004407,0.49093904448105435,0.49093904448105435,0.49093904448105435,,
5,0.005,3617.0,1273.0,1155.0,0.0,1.0,0.5242998352553542,0.19106699751861042,0.4757001647446458,0.0,0.0,inf,inf,0.6303966513207039,0.4757001647446458,0.4757001647446458,0.4757001647446458,,
6,0.006,3617.0,1302.0,1126.0,0.0,1.0,0.5362438220757826,0.18626964433416046,0.46375617792421747,0.0,0.0,inf,inf,0.6394827633379883,0.46375617792421747,0.46375617792421747,0.46375617792421747,,
7,0.007,3617.0,1333.0,1095.0,0.0,1.0,0.5490115321252059,0.18114143920595532,0.4509884678747941,0.0,0.0,inf,inf,0.6491758376487389,0.4509884678747941,0.4509884678747941,0.4509884678747941,,
8,0.008,3617.0,1358.0,1070.0,0.0,1.0,0.5593080724876441,0.17700578990901572,0.44069192751235586,0.0,0.0,inf,inf,0.6569802610480997,0.44069192751235586,0.44069192751235586,0.44069192751235586,,
9,0.009,3617.0,1383.0,1045.0,0.0,1.0,0.5696046128500823,0.1728701406120761,0.43039538714991765,0.0,0.0,inf,inf,0.6647752907485195,0.43039538714991765,0.43039538714991765,0.43039538714991765,,
10,0.01,3617.0,1406.0,1022.0,0.0,1.0,0.5790774299835255,0.16906534325889164,0.4209225700164745,0.0,0.0,inf,inf,0.6719398332616493,0.4209225700164745,0.4209225700164745,0.4209225700164745,,
11,0.011,3617.0,1429.0,999.0,0.0,1.0,0.5885502471169687,0.16526054590570718,0.4114497528830313,0.0,0.0,inf,inf,0.6790990571516008,0.4114497528830313,0.4114497528830313,0.4114497528830313,,
12,0.012,3617.0,1438.0,990.0,0.0,1.0,0.5922570016474464,0.16377171215880892,0.40774299835255357,0.0,0.0,inf,inf,0.6818993085635848,0.40774299835255357,0.40774299835255357,0.40774299835255357,,
13,0.013,3617.0,1453.0,975.0,0.0,1.0,0.5984349258649094,0.16129032258064516,0.4015650741350906,0.0,0.0,inf,inf,0.6865651906952039,0.4015650741350906,0.4015650741350906,0.4015650741350906,,
14,0.014,3617.0,1467.0,961.0,0.0,1.0,0.6042009884678748,0.15897435897435896,0.3957990115321252,0.0,0.0,inf,inf,0.6909189047950015,0.3957990115321252,0.3957990115321252,0.3957990115321252,,
15,0.015,3617.0,1478.0,950.0,0.0,1.0,0.6087314662273476,0.15715467328370555,0.3912685337726524,0.0,0.0,inf,inf,0.6943391035708747,0.3912685337726524,0.3912685337726524,0.3912685337726524,,
