,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.0725458308491068,0.9401724603613089
1,0.001,3561.0,1950.0,478.0,56.0,0.9845175559856234,0.8031301482701813,0.07907361455748553,0.19686985172981877,0.009263854425144748,0.015482444014376555,12.71568310190633,21.251397387620617,0.820027120994819,0.19747770657160046,0.1970876899223569,0.2635961313756628,,
2,0.002,3561.0,1950.0,478.0,56.0,0.9845175559856234,0.8031301482701813,0.07907361455748553,0.19686985172981877,0.009263854425144748,0.015482444014376555,12.71568310190633,21.251397387620617,0.820027120994819,0.19747770657160046,0.1970876899223569,0.2635961313756628,,
3,0.003,3561.0,1952.0,476.0,56.0,0.9845175559856234,0.8039538714991763,0.07874276261373035,0.19604612850082373,0.009263854425144748,0.015482444014376555,12.662479406919276,21.162479406919275,0.8206790115224477,0.19665652944364648,0.19626488096185665,0.262981494512934,,
4,0.004,3551.0,1967.0,461.0,66.0,0.9817528338401991,0.8101317957166392,0.07626137303556658,0.1898682042833608,0.010918114143920596,0.01824716615980094,10.40535295292297,17.390201437771456,0.8216963493803892,0.1907430052994117,0.19018186089700487,0.26872161849119347,,
5,0.005,3535.0,1980.0,448.0,82.0,0.97732927840752,0.8154859967051071,0.07411083540115798,0.18451400329489293,0.013564929693961952,0.022670721592479955,8.138867681922289,13.602282316068631,0.8198249306961607,0.18590153046554375,0.1850119583419134,0.280843192866311,,
6,0.006,3515.0,1986.0,442.0,102.0,0.9717998341166713,0.8179571663920923,0.07311827956989247,0.18204283360790774,0.01687344913151365,0.028200165883328725,6.455381658429435,10.788714991762767,0.8142238276302834,0.184214121673241,0.18282315650264372,0.29790044591911335,,
7,0.007,3502.0,1992.0,436.0,115.0,0.9682056953276196,0.8204283360790774,0.07212572373862697,0.17957166392092258,0.01902398676592225,0.031794304672380425,5.647919203495452,9.43922355132154,0.8113420514837791,0.182364635532575,0.1805765614796083,0.307934593734594,,
8,0.008,3492.0,1994.0,434.0,125.0,0.9654409731821952,0.8212520593080724,0.07179487179487179,0.1787479406919275,0.0206782464846981,0.03455902681780481,5.172250411861614,8.644250411861615,0.8082826810978648,0.18205810236349984,0.1799400349541112,0.3160293556026412,,
9,0.009,3484.0,1998.0,430.0,133.0,0.9632291954658557,0.8228995057660626,0.07113316790736146,0.1771004942339374,0.022001654259718777,0.036770804534144316,4.81633449356505,8.049417200331966,0.8066592394031034,0.18087751967558913,0.17846192268399746,0.32179823190953866,,
10,0.01,3474.0,2007.0,421.0,143.0,0.9604644733204313,0.8266062602965404,0.06964433416046319,0.17339373970345964,0.023655913978494623,0.0395355266795687,4.385770325226669,7.329826269282613,0.8060080856355631,0.1778438833308079,0.17499997495573835,0.32798381737161614,,
11,0.011,3468.0,2012.0,416.0,149.0,0.9588056400331767,0.828665568369028,0.06881720430107527,0.171334431630972,0.024648469809760133,0.041194359966823337,4.159172075229702,6.951118383954535,0.8055013739924514,0.17621708985051487,0.1730983377339912,0.3317336764678537,,
12,0.012,3462.0,2013.0,415.0,155.0,0.957146806745922,0.8290774299835255,0.06865177832919768,0.17092257001647446,0.02564102564102564,0.042853193254077965,3.9885608758037945,6.6659802306425044,0.8036509894041881,0.17621271552617299,0.1728351443918752,0.33628041167621003,,
13,0.013,3450.0,2020.0,408.0,167.0,0.9538291401714127,0.8319604612850082,0.0674937965260546,0.16803953871499178,0.027626137303556658,0.04617085982858723,3.6395150391145226,6.082628811569613,0.8016769000816727,0.17426713651419842,0.1702953024421466,0.34416167411757337,,
14,0.014,3447.0,2024.0,404.0,170.0,0.9529997235277855,0.8336079077429983,0.06683209263854425,0.16639209225700163,0.028122415219189414,0.047000276472214546,3.5402364570210287,5.916707045256323,0.8019581033431733,0.17290273090419117,0.1687518847403579,0.3456556889762223,,
15,0.015,3439.0,2029.0,399.0,178.0,0.950787945811446,0.835667215815486,0.06600496277915632,0.164332784184514,0.029445822994210093,0.04921205418855405,3.339279103344871,5.580852137052736,0.8007904973755807,0.1715432605359104,0.16695005375752475,0.35072431631907836,,
16,0.016,3431.0,2043.0,385.0,186.0,0.9485761680951065,0.8414332784184514,0.06368899917287014,0.1585667215815486,0.03076923076923077,0.05142383190489356,3.08352597828205,5.15341845140033,0.8027340086734803,0.16669677765602758,0.16152445869047366,0.354043300339273,,
17,0.017,3426.0,2046.0,382.0,191.0,0.9471938070223942,0.842668863261944,0.06319272125723739,0.15733113673805602,0.031596360628618696,0.05280619297760575,2.9794069192751236,4.979406919275124,0.8019895746816258,0.16595656240136158,0.1604724792363557,0.35717919665864123,,
18,0.018,3420.0,2052.0,376.0,197.0,0.9455349737351396,0.8451400329489291,0.06220016542597188,0.15485996705107083,0.0325889164598842,0.05446502626486038,2.843291882353925,4.75192132397829,0.8019342770537725,0.16415860769722274,0.1582518463433778,0.36047915728755753,,
19,0.019,3416.0,2053.0,375.0,201.0,0.9444290848769699,0.8455518945634267,0.062034739454094295,0.1544481054365733,0.03325062034739454,0.05557091512303013,2.7792974993238095,4.644969141114855,0.8008688137146284,0.1641412315067664,0.15798677484660997,0.36319130070996486,,
20,0.02,3414.0,2055.0,373.0,203.0,0.943876140447885,0.8463756177924218,0.061703887510339124,0.15362438220757826,0.03358147229114971,0.05612385955211501,2.7372383765754216,4.574676800220742,0.8008560209375,0.16355530691385597,0.15725191919306214,0.36427775433296017,,
21,0.021,3408.0,2058.0,370.0,209.0,0.9422173071606303,0.8476112026359144,0.06120760959470637,0.15238879736408567,0.03457402812241522,0.05778269283936965,2.6372740673009467,4.407608995530612,0.7997875968443585,0.16297602631626928,0.15626166830890398,0.36803381862139073,,
22,0.022,3403.0,2060.0,368.0,214.0,0.9408349460879182,0.8484349258649094,0.0608767576509512,0.1515650741350906,0.03540115798180314,0.059165053912081836,2.561733052087022,4.281359220311321,0.798731154502685,0.16270364255908673,0.15564451061321788,0.3712163465114644,,
23,0.023,3393.0,2061.0,367.0,224.0,0.9380702239424937,0.8488467874794069,0.06071133167907362,0.15115321252059308,0.03705541770057899,0.06192977605750622,2.440719507531184,4.079112364674041,0.7955921783466483,0.16334806646492162,0.1556290385379925,0.37798352954563413,,
24,0.024,3389.0,2061.0,367.0,228.0,0.936964335084324,0.8488467874794069,0.06071133167907362,0.15115321252059308,0.03771712158808933,0.06303566491567597,2.3978998670481806,4.007548989855198,0.7942021877845621,0.16377053674778305,0.15578791646397447,0.38071659858126267,,
25,0.025,3384.0,2062.0,366.0,233.0,0.9355819740116118,0.8492586490939045,0.06054590570719603,0.15074135090609556,0.03854425144747725,0.06441802598838817,2.34004921127617,3.9108646619199474,0.7928172496119895,0.16392875569964926,0.1555911764613951,0.3839392201606009,,
26,0.026,3377.0,2063.0,365.0,240.0,0.9336466685098148,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.03970223325062035,0.06635333149018524,2.265590678198792,3.7864240115321253,0.7907466966768156,0.16432200081096596,0.1554838341299807,0.38846216512190296,,
27,0.027,3374.0,2063.0,365.0,243.0,0.9328172518661875,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.0401985111662531,0.06718274813381256,2.237620422912387,3.7396780360811115,0.7897120517580358,0.16465866815167668,0.15561129666787069,0.3904496510069979,,
28,0.028,3365.0,2063.0,365.0,252.0,0.9303290019353055,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04168734491315137,0.0696709980646945,2.1577054078083733,3.6061181062210714,0.7866164301663073,0.16568947860984823,0.1560025322761805,0.3963419022873192,,
29,0.029,3356.0,2063.0,365.0,261.0,0.9278407520044235,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04317617866004963,0.07215924799557645,2.0833017730563603,3.481769206006552,0.7835331716345068,0.1667510492379577,0.15640696197534562,0.40213243374607144,,
30,0.03,3348.0,2063.0,365.0,269.0,0.925628974288084,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04449958643507031,0.07437102571191595,2.0213448430026397,3.3782221664227143,0.7808027664607329,0.16772001912745882,0.15677744909126753,0.40719768824130403,,
31,0.031,3343.0,2063.0,365.0,274.0,0.9242466132153718,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04532671629445823,0.07575338678462815,1.9844589882033215,3.3165757765244894,0.7791011273114047,0.16833755065348363,0.1570142240712955,0.4103256673796895,,
32,0.032,3342.0,2063.0,365.0,275.0,0.9239701410008294,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.045492142266335814,0.07602985899917059,1.9772427737007638,3.3045155009734914,0.7787612459136061,0.16846214651994212,0.15706205894057682,0.4109478481383983,,
33,0.033,3337.0,2063.0,365.0,280.0,0.9225877799281172,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04631927212572374,0.07741222007188278,1.9419348670275358,3.2455062955989646,0.7770640610913201,0.16909052950159656,0.1573036246274368,0.4140419588374838,,
34,0.034,3333.0,2063.0,365.0,284.0,0.9214818910699475,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04698097601323408,0.07851810893005252,1.9145836717172893,3.199794939322923,0.775708968986696,0.16959967211237256,0.15749973796114317,0.41649739468672076,,
35,0.035,3332.0,2063.0,365.0,285.0,0.9212054188554051,0.8496705107084019,0.060380479735318446,0.15032948929159803,0.04714640198511166,0.07879458114459496,1.907865834272667,3.188567588658632,0.7753705633142414,0.1697278450002381,0.15754916239324926,0.4171085369806165,,
36,0.036,3324.0,2064.0,364.0,293.0,0.9189936411390656,0.8500823723228995,0.060215053763440864,0.14991762767710048,0.04846980976013234,0.08100635886093448,1.8506896222118514,3.093010441324479,0.7730233538015375,0.17040341916826734,0.15755829888175724,0.42181273408266384,,
37,0.037,3317.0,2064.0,364.0,300.0,0.9170583356372685,0.8500823723228995,0.060215053763440864,0.14991762767710048,0.04962779156327544,0.08294166436273155,1.8075068643602414,3.0208401976935746,0.7706673848443877,0.1713318848772456,0.1579183738004468,0.4260038780651332,,
38,0.038,3313.0,2064.0,364.0,304.0,0.9159524467790987,0.8500823723228995,0.060215053763440864,0.14991762767710048,0.05028949545078577,0.0840475532209013,1.78372387930287,2.981092300355501,0.7693242851860624,0.17186996913582653,0.1581275701483594,0.42837648199651684,,
39,0.039,3312.0,2065.0,363.0,305.0,0.9156759745645563,0.850494233937397,0.060049627791563275,0.14950576606260296,0.050454921422663356,0.08432402543544373,1.7729913306506064,2.963155265076836,0.7693447807794725,0.17164648365638932,0.15778996540253407,0.4288233712045273,,
40,0.04,3308.0,2065.0,363.0,309.0,0.9145700857063865,0.850494233937397,0.060049627791563275,0.14950576606260296,0.0511166253101737,0.08542991429361349,1.7500399865645144,2.924797268117912,0.7680049058789081,0.17219246308180827,0.15800279576344986,0.4311769154500025,,
41,0.041,3303.0,2065.0,363.0,314.0,0.9131877246336744,0.850494233937397,0.060049627791563275,0.14950576606260296,0.05194375516956162,0.08681227536632569,1.7221731077975635,2.878224063211576,0.7663332601657954,0.17288246076523933,0.1582723216076681,0.43409694039965113,,
42,0.042,3297.0,2065.0,363.0,320.0,0.9115288913464197,0.850494233937397,0.060049627791563275,0.14950576606260296,0.05293631100082713,0.08847110865358032,1.689882362026359,2.824257362026359,0.7643319471279355,0.1737213606680519,0.15860084207954905,0.43756948514119764,,
43,0.043,3295.0,2065.0,363.0,322.0,0.9109759469173349,0.850494233937397,0.060049627791563275,0.14950576606260296,0.0532671629445823,0.08902405308266519,1.679386198287065,2.8067153908336486,0.7636659669749385,0.17400360948334076,0.1587115771899783,0.43871949834037566,,
44,0.044,3287.0,2065.0,363.0,330.0,0.9087641692009953,0.850494233937397,0.060049627791563275,0.14950576606260296,0.05459057071960298,0.0912358307990047,1.638673805601318,2.738673805601318,0.7610076309969542,0.17514551352389926,0.15916062483371235,0.4432828204006901,,
45,0.045,3278.0,2066.0,362.0,339.0,0.9062759192701133,0.8509060955518946,0.05988420181968569,0.14909390444810544,0.05607940446650124,0.09372408072988665,1.5907747858076617,2.6586213934772784,0.7583866040263534,0.1761056377639373,0.1592918452052654,0.4482108326387168,,
46,0.046,3277.0,2067.0,361.0,340.0,0.9059994470555709,0.8513179571663921,0.0597187758478081,0.14868204283360792,0.05624483043837883,0.09400055294442909,1.5817145556739993,2.6434792615563523,0.7584153960467322,0.17590467252188965,0.1589648728877446,0.44863275827359583,,
47,0.047,3275.0,2067.0,361.0,342.0,0.9054465026264861,0.8513179571663921,0.0597187758478081,0.14868204283360792,0.05657568238213399,0.09455349737351396,1.5724647629507598,2.6280203185063153,0.7577553062728571,0.17620077674839554,0.15908223564615545,0.44974768564456186,,
48,0.048,3270.0,2067.0,361.0,347.0,0.9040641415537738,0.8513179571663921,0.0597187758478081,0.14868204283360792,0.05740281224152192,0.09593585844622615,1.5498067692482993,2.5901525905739478,0.7561074666860643,0.17694642917275602,0.15937826926657925,0.4525200302945858,,
49,0.049,3268.0,2068.0,360.0,349.0,0.903511197124689,0.8517298187808896,0.05955334987593052,0.14827018121911037,0.05773366418527709,0.09648880287531103,1.5366568638095193,2.568175488451353,0.7558092433795969,0.1769014859153491,0.15911386683443457,0.45348821738724293,,
50,0.05,3264.0,2068.0,360.0,353.0,0.9024053082665192,0.8517298187808896,0.05955334987593052,0.14827018121911037,0.058395368072787425,0.09759469173348079,1.5192443214434057,2.539074349772018,0.7544948447826002,0.17750709983913593,0.15935515570920242,0.4556848760395239,,
51,0.051,3260.0,2068.0,360.0,357.0,0.9012994194083495,0.8517298187808896,0.05955334987593052,0.14827018121911037,0.05905707196029777,0.09870058059165054,1.502221976105104,2.510625337449642,0.7531825991492145,0.17811752088965513,0.15959882326405675,0.45786832519068194,,
52,0.052,3256.0,2068.0,360.0,361.0,0.9001935305501797,0.8517298187808896,0.05955334987593052,0.14827018121911037,0.0597187758478081,0.09980646944982029,1.4855768572562944,2.482806774153801,0.751872496074987,0.1787326998139561,0.15984485862081577,0.460038752926697,,
53,0.053,3253.0,2069.0,359.0,364.0,0.8993641139065524,0.8521416803953872,0.05938792390405294,0.14785831960461285,0.060215053763440864,0.1006358860934476,1.4692405000271558,2.4555042362908917,0.7512526271519273,0.1788565465564881,0.1596494139545583,0.4615260266695495,,
54,0.054,3252.0,2069.0,359.0,365.0,0.8990876416920099,0.8521416803953872,0.05938792390405294,0.14785831960461285,0.060380479735318446,0.10091235830799004,1.4652151835887253,2.4487768274243416,0.7509259202706446,0.1790122530319643,0.15971188124046076,0.46206438429400704,,
55,0.055,3246.0,2069.0,359.0,371.0,0.8974288084047554,0.8521416803953872,0.05938792390405294,0.14785831960461285,0.06137303556658395,0.10257119159524468,1.4415189811587188,2.40917396768163,0.7489684568521722,0.17995258270324502,0.16008976285495904,0.4652779991806197,,
56,0.056,3245.0,2069.0,359.0,372.0,0.8971523361902128,0.8521416803953872,0.05938792390405294,0.14785831960461285,0.06153846153846154,0.10284766380978712,1.4376439301340986,2.4026976935749587,0.7486426744364126,0.18011031238502373,0.16015325449337753,0.46581087186189973,,
57,0.057,3240.0,2069.0,359.0,377.0,0.8957699751175007,0.8521416803953872,0.05938792390405294,0.14785831960461285,0.06236559139784946,0.10423002488249931,1.4185770345089779,2.3708316764187924,0.7470157306156198,0.18090323591165047,0.16047289386903743,0.46846369587652376,,
58,0.058,3238.0,2070.0,358.0,379.0,0.8952170306884158,0.8525535420098846,0.05922249793217535,0.14744645799011533,0.06269644334160464,0.10478296931158419,1.40716052387928,2.3517515529030266,0.7467285078227953,0.18088650759960853,0.1602226637574032,0.46938995082899543,,
59,0.059,3237.0,2071.0,357.0,380.0,0.8949405584738733,0.8529654036243822,0.05905707196029777,0.1470345963756178,0.06286186931348221,0.10505944152612662,1.3995371976068673,2.339010881817394,0.7467666232021208,0.1807115347317997,0.1599086837696007,0.4697877918058456,,
60,0.06,3233.0,2074.0,354.0,384.0,0.8938346696157036,0.8542009884678748,0.058560794044665014,0.1457990115321252,0.06352357320099256,0.10616533038429637,1.3733203768533773,2.2951953768533775,0.7465592291596668,0.18035639478363827,0.1590364615928267,0.4715049683266665,,
61,0.061,3231.0,2075.0,353.0,386.0,0.8932817251866187,0.8546128500823723,0.058395368072787425,0.1453871499176277,0.06385442514474772,0.10671827481338125,1.3623453918447135,2.276853163865439,0.7462754781587368,0.18035025239881178,0.15879172198744157,0.4724247906373975,,
62,0.062,3226.0,2076.0,352.0,391.0,0.8918993641139066,0.8550247116968699,0.05822994210090984,0.14497528830313014,0.06468155500413565,0.10810063588609345,1.3411141120010786,2.2413698664767816,0.7450240821766527,0.1808413163454454,0.15874992213015013,0.47490352547836995,,
63,0.063,3224.0,2076.0,352.0,393.0,0.8913464196848216,0.8550247116968699,0.05822994210090984,0.14497528830313014,0.06501240694789082,0.10865358031517833,1.3342891037975106,2.2299634040519636,0.7443790276607684,0.1811723895462071,0.1588850127473761,0.475940536552231,,
64,0.064,3218.0,2079.0,349.0,399.0,0.8896875863975671,0.8562602965403624,0.05773366418527709,0.14373970345963757,0.06600496277915632,0.11031241360243295,1.303023828104033,2.177710544896013,0.743540921984212,0.18119031691969298,0.15817002706626296,0.4786617813871672,,
65,0.065,3217.0,2079.0,349.0,400.0,0.8894111141830247,0.8562602965403624,0.05773366418527709,0.14373970345963757,0.06617038875103391,0.11058888581697539,1.2997662685337728,2.172266268533773,0.7432196016433859,0.18135877154663504,0.1582391313744091,0.47917530437030575,,
66,0.066,3214.0,2079.0,349.0,403.0,0.8885816975393973,0.8562602965403624,0.05773366418527709,0.14373970345963757,0.06666666666666667,0.1114183024606027,1.2900905891154073,2.1560955518945635,0.7422563983255662,0.1818657209972976,0.15844729974066768,0.4807116278484094,,
67,0.067,3211.0,2080.0,348.0,406.0,0.88775228089577,0.85667215815486,0.05756823821339951,0.14332784184514002,0.06716294458229942,0.11224771910423002,1.2768886796893386,2.134031536832196,0.7416596669296338,0.18205059926319275,0.15828370532986172,0.482119028884303,,
68,0.068,3208.0,2082.0,346.0,409.0,0.8869228642521426,0.857495881383855,0.057237386269644336,0.14250411861614498,0.06765922249793217,0.11307713574785734,1.2602381345589153,2.1062039047300645,0.7414302838578887,0.18191718569586457,0.1577504174688264,0.48339968627352226,,
69,0.069,3204.0,2084.0,344.0,413.0,0.8858169753939729,0.8583196046128501,0.056906534325889165,0.1416803953871499,0.06832092638544252,0.1141830246060271,1.2408183780031992,2.0737481600855237,0.7408839263871713,0.1819645502432815,0.15729298591871219,0.4851820488650964,,
70,0.07,3201.0,2086.0,342.0,416.0,0.8849875587503456,0.8591433278418451,0.05657568238213399,0.14085667215815487,0.06881720430107527,0.11501244124965442,1.224708132682803,2.046823517298188,0.7406596709456934,0.18184736383482475,0.15676865024387324,0.48645413242008073,,
71,0.071,3197.0,2089.0,339.0,420.0,0.8838816698921759,0.8603789126853377,0.05607940446650124,0.13962108731466227,0.06947890818858561,0.11611833010782416,1.2024035067074605,2.0095463638503177,0.7404865172522407,0.18159712170064307,0.15595309136405877,0.48810576891852775,,
72,0.072,3194.0,2092.0,336.0,423.0,0.8830522532485485,0.8616144975288303,0.055583126550868486,0.13838550247116968,0.06997518610421836,0.11694774675145148,1.18331054949934,1.9776367906340915,0.7406349654900807,0.18118311942463,0.15507118998872133,0.4892537841722427,,
73,0.073,3185.0,2095.0,333.0,432.0,0.8805640033176666,0.8628500823723229,0.05508684863523573,0.1371499176276771,0.07146401985111663,0.11943599668233343,1.1483130834706203,1.9191464168039536,0.7388883899559975,0.1818654920780217,0.15465188663110258,0.4933732217768239,,
74,0.074,3180.0,2097.0,331.0,437.0,0.8791816422449544,0.863673805601318,0.05475599669148056,0.13632619439868204,0.07229114971050454,0.12081835775504562,1.1283566250344004,1.8857936959726156,0.7380472871724459,0.18215901528569328,0.15430762005064375,0.49560515656991727,,
75,0.075,3172.0,2102.0,326.0,445.0,0.8769698645286149,0.8657331136738056,0.05392886683209264,0.1342668863261944,0.07361455748552523,0.12303013547138512,1.0913333209929106,1.8239175906558318,0.7373766584302209,0.1821098871501451,0.15312315251953543,0.4989503517108631,,
76,0.076,3170.0,2103.0,325.0,447.0,0.87641692009953,0.8661449752883031,0.053763440860215055,0.13385502471169686,0.07394540942928039,0.12358307990047,1.0831177279244015,1.8101870791548267,0.7371189477340708,0.1821810782662539,0.15292184675916284,0.4998105138988405,,
77,0.077,3167.0,2111.0,317.0,450.0,0.8755875034559026,0.8694398682042833,0.052440033085194376,0.13056013179571663,0.07444168734491315,0.12441249654409732,1.049413326011349,1.7538577704557934,0.7391404360675699,0.1803452724937638,0.15029142633321668,0.5003923178930454,,
