,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.04349005861484227,0.9569080249362463
1,0.001,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
2,0.002,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
3,0.003,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
4,0.004,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
5,0.005,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
6,0.006,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
7,0.007,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
8,0.008,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
9,0.009,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
10,0.01,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
11,0.011,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
12,0.012,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
13,0.013,3617.0,3.0,2425.0,0.0,1.0,0.0012355848434925864,0.4011579818031431,0.9987644151565074,0.0,0.0,inf,inf,0.027196948573996762,0.9987644151565074,0.9987644151565074,0.9987644151565074,,
14,0.014,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
15,0.015,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
16,0.016,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
17,0.017,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
18,0.018,3617.0,5.0,2423.0,0.0,1.0,0.002059308072487644,0.4008271298593879,0.9979406919275123,0.0,0.0,inf,inf,0.03511692224806709,0.9979406919275123,0.9979406919275123,0.9979406919275123,,
19,0.019,3617.0,6.0,2422.0,0.0,1.0,0.002471169686985173,0.4006617038875103,0.9975288303130149,0.0,0.0,inf,inf,0.03847184581812153,0.9975288303130149,0.9975288303130149,0.9975288303130149,,
20,0.02,3617.0,8.0,2420.0,0.0,1.0,0.0032948929159802307,0.4003308519437552,0.9967051070840197,0.0,0.0,inf,inf,0.04443081900183898,0.9967051070840197,0.9967051070840197,0.9967051070840197,,
21,0.021,3617.0,13.0,2415.0,0.0,1.0,0.005354200988467875,0.39950372208436724,0.9946457990115322,0.0,0.0,inf,inf,0.0566618725506228,0.9946457990115322,0.9946457990115322,0.9946457990115322,,
22,0.022,3617.0,17.0,2411.0,0.0,1.0,0.00700164744645799,0.3988420181968569,0.992998352553542,0.0,0.0,inf,inf,0.06481682476052741,0.992998352553542,0.992998352553542,0.992998352553542,,
23,0.023,3617.0,21.0,2407.0,0.0,1.0,0.008649093904448105,0.3981803143093466,0.9913509060955519,0.0,0.0,inf,inf,0.07206378668461824,0.9913509060955519,0.9913509060955519,0.9913509060955519,,
24,0.024,3617.0,25.0,2403.0,0.0,1.0,0.01029654036243822,0.3975186104218362,0.9897034596375618,0.0,0.0,inf,inf,0.07865415539744582,0.9897034596375618,0.9897034596375618,0.9897034596375618,,
25,0.025,3617.0,26.0,2402.0,0.0,1.0,0.01070840197693575,0.39735318444995865,0.9892915980230642,0.0,0.0,inf,inf,0.08021847758030964,0.9892915980230642,0.9892915980230642,0.9892915980230642,,
26,0.026,3617.0,27.0,2401.0,0.0,1.0,0.011120263591433279,0.3971877584780811,0.9888797364085667,0.0,0.0,inf,inf,0.08175337744825249,0.9888797364085667,0.9888797364085667,0.9888797364085667,,
27,0.027,3617.0,35.0,2393.0,0.0,1.0,0.014415156507413509,0.39586435070306036,0.9855848434925865,0.0,0.0,inf,inf,0.09314224454217959,0.9855848434925865,0.9855848434925865,0.9855848434925865,,
28,0.028,3617.0,41.0,2387.0,0.0,1.0,0.01688632619439868,0.39487179487179486,0.9831136738056013,0.0,0.0,inf,inf,0.1008605889429665,0.9831136738056013,0.9831136738056013,0.9831136738056013,,
29,0.029,3617.0,46.0,2382.0,0.0,1.0,0.018945634266886325,0.3940446650124069,0.9810543657331137,0.0,0.0,inf,inf,0.10687826572555366,0.9810543657331137,0.9810543657331137,0.9810543657331137,,
30,0.03,3617.0,48.0,2380.0,0.0,1.0,0.019769357495881382,0.3937138130686518,0.9802306425041186,0.0,0.0,inf,inf,0.1091951897834168,0.9802306425041186,0.9802306425041186,0.9802306425041186,,
31,0.031,3617.0,52.0,2376.0,0.0,1.0,0.0214168039538715,0.3930521091811414,0.9785831960461285,0.0,0.0,inf,inf,0.11369187951463831,0.9785831960461285,0.9785831960461285,0.9785831960461285,,
32,0.032,3617.0,55.0,2373.0,0.0,1.0,0.022652388797364087,0.3925558312655087,0.9773476112026359,0.0,0.0,inf,inf,0.11695474509689113,0.9773476112026359,0.9773476112026359,0.9773476112026359,,
33,0.033,3617.0,64.0,2364.0,0.0,1.0,0.026359143327841845,0.3910669975186104,0.9736408566721582,0.0,0.0,inf,inf,0.12625628284498874,0.9736408566721582,0.9736408566721582,0.9736408566721582,,
34,0.034,3617.0,69.0,2359.0,0.0,1.0,0.02841845140032949,0.3902398676592225,0.9715815485996705,0.0,0.0,inf,inf,0.13115026249015632,0.9715815485996705,0.9715815485996705,0.9715815485996705,,
35,0.035,3617.0,73.0,2355.0,0.0,1.0,0.030065897858319604,0.38957816377171217,0.9699341021416804,0.0,0.0,inf,inf,0.13494333642112344,0.9699341021416804,0.9699341021416804,0.9699341021416804,,
36,0.036,3617.0,76.0,2352.0,0.0,1.0,0.03130148270181219,0.3890818858560794,0.9686985172981878,0.0,0.0,inf,inf,0.13772282417821616,0.9686985172981878,0.9686985172981878,0.9686985172981878,,
37,0.037,3617.0,80.0,2348.0,0.0,1.0,0.032948929159802305,0.3884201819685691,0.9670510708401977,0.0,0.0,inf,inf,0.1413480048305364,0.9670510708401977,0.9670510708401977,0.9670510708401977,,
38,0.038,3617.0,84.0,2344.0,0.0,1.0,0.03459637561779242,0.38775847808105873,0.9654036243822076,0.0,0.0,inf,inf,0.1448871918920344,0.9654036243822076,0.9654036243822076,0.9654036243822076,,
39,0.039,3617.0,88.0,2340.0,0.0,1.0,0.036243822075782535,0.3870967741935484,0.9637561779242174,0.0,0.0,inf,inf,0.14834654950167345,0.9637561779242174,0.9637561779242174,0.9637561779242174,,
40,0.04,3617.0,96.0,2332.0,0.0,1.0,0.039538714991762765,0.3857733664185277,0.9604612850082372,0.0,0.0,inf,inf,0.15504706345244146,0.9604612850082372,0.9604612850082372,0.9604612850082372,,
41,0.041,3617.0,103.0,2325.0,0.0,1.0,0.04242174629324547,0.38461538461538464,0.9575782537067545,0.0,0.0,inf,inf,0.16069493999479512,0.9575782537067545,0.9575782537067545,0.9575782537067545,,
42,0.042,3617.0,106.0,2322.0,0.0,1.0,0.04365733113673806,0.38411910669975186,0.9563426688632619,0.0,0.0,inf,inf,0.1630595288684599,0.9563426688632619,0.9563426688632619,0.9563426688632619,,
43,0.043,3617.0,111.0,2317.0,0.0,1.0,0.0457166392092257,0.3832919768403639,0.9542833607907742,0.0,0.0,inf,inf,0.16693124467344442,0.9542833607907742,0.9542833607907742,0.9542833607907742,,
44,0.044,3617.0,114.0,2314.0,0.0,1.0,0.04695222405271829,0.3827956989247312,0.9530477759472817,0.0,0.0,inf,inf,0.16921481241197325,0.9530477759472817,0.9530477759472817,0.9530477759472817,,
45,0.045,3617.0,118.0,2310.0,0.0,1.0,0.048599670510708404,0.38213399503722084,0.9514003294892917,0.0,0.0,inf,inf,0.1722159823160456,0.9514003294892917,0.9514003294892917,0.9514003294892917,,
46,0.046,3617.0,123.0,2305.0,0.0,1.0,0.05065897858319605,0.3813068651778329,0.949341021416804,0.0,0.0,inf,inf,0.17590098336825455,0.949341021416804,0.949341021416804,0.949341021416804,,
47,0.047,3617.0,126.0,2302.0,0.0,1.0,0.051894563426688634,0.3808105872622002,0.9481054365733114,0.0,0.0,inf,inf,0.1780783060170055,0.9481054365733114,0.9481054365733114,0.9481054365733114,,
48,0.048,3617.0,132.0,2296.0,0.0,1.0,0.054365733113673806,0.3798180314309347,0.9456342668863262,0.0,0.0,inf,inf,0.18236140908402598,0.9456342668863262,0.9456342668863262,0.9456342668863262,,
49,0.049,3617.0,134.0,2294.0,0.0,1.0,0.05518945634266886,0.37948717948717947,0.9448105436573312,0.0,0.0,inf,inf,0.18376882253874058,0.9448105436573312,0.9448105436573312,0.9448105436573312,,
50,0.05,3617.0,138.0,2290.0,0.0,1.0,0.05683690280065898,0.37882547559966917,0.943163097199341,0.0,0.0,inf,inf,0.1865546037612689,0.943163097199341,0.943163097199341,0.943163097199341,,
51,0.051,3617.0,142.0,2286.0,0.0,1.0,0.05848434925864909,0.3781637717121588,0.9415156507413509,0.0,0.0,inf,inf,0.1893030859622349,0.9415156507413509,0.9415156507413509,0.9415156507413509,,
52,0.052,3617.0,147.0,2281.0,0.0,1.0,0.06054365733113674,0.3773366418527709,0.9394563426688632,0.0,0.0,inf,inf,0.1926886776949316,0.9394563426688632,0.9394563426688632,0.9394563426688632,,
53,0.053,3617.0,149.0,2279.0,0.0,1.0,0.061367380560131794,0.37700578990901573,0.9386326194398682,0.0,0.0,inf,inf,0.19402795660776861,0.9386326194398682,0.9386326194398682,0.9386326194398682,,
54,0.054,3617.0,152.0,2276.0,0.0,1.0,0.06260296540362438,0.37650951199338295,0.9373970345963756,0.0,0.0,inf,inf,0.19602139998604132,0.9373970345963756,0.9373970345963756,0.9373970345963756,,
55,0.055,3617.0,156.0,2272.0,0.0,1.0,0.0642504118616145,0.37584780810587265,0.9357495881383855,0.0,0.0,inf,inf,0.19865131084807186,0.9357495881383855,0.9357495881383855,0.9357495881383855,,
56,0.056,3617.0,157.0,2271.0,0.0,1.0,0.06466227347611203,0.375682382133995,0.935337726523888,0.0,0.0,inf,inf,0.1993039190975571,0.935337726523888,0.935337726523888,0.935337726523888,,
57,0.057,3617.0,160.0,2268.0,0.0,1.0,0.06589785831960461,0.3751861042183623,0.9341021416803954,0.0,0.0,inf,inf,0.20125036231865934,0.9341021416803954,0.9341021416803954,0.9341021416803954,,
