,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
2,0.002,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
3,0.003,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
4,0.004,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
5,0.005,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
6,0.006,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
7,0.007,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
8,0.008,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
9,0.009,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
10,0.01,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
11,0.011,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
12,0.012,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
13,0.013,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
14,0.014,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
15,0.015,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
16,0.016,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
17,0.017,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
18,0.018,3617.0,5.0,2423.0,0.0,0.4008271298593879,0.0,0.4008271298593879
19,0.019,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
20,0.02,3617.0,8.0,2420.0,0.0,0.4003308519437552,0.0,0.4003308519437552
21,0.021,3617.0,13.0,2415.0,0.0,0.39950372208436724,0.0,0.39950372208436724
22,0.022,3617.0,17.0,2411.0,0.0,0.3988420181968569,0.0,0.3988420181968569
23,0.023,3617.0,21.0,2407.0,0.0,0.3981803143093466,0.0,0.3981803143093466
24,0.024,3617.0,25.0,2403.0,0.0,0.3975186104218362,0.0,0.3975186104218362
25,0.025,3617.0,26.0,2402.0,0.0,0.39735318444995865,0.0,0.39735318444995865
26,0.026,3617.0,27.0,2401.0,0.0,0.3971877584780811,0.0,0.3971877584780811
27,0.027,3617.0,35.0,2393.0,0.0,0.39586435070306036,0.0,0.39586435070306036
28,0.028,3617.0,41.0,2387.0,0.0,0.39487179487179486,0.0,0.39487179487179486
29,0.029,3617.0,46.0,2382.0,0.0,0.3940446650124069,0.0,0.3940446650124069
30,0.03,3617.0,48.0,2380.0,0.0,0.3937138130686518,0.0,0.3937138130686518
31,0.031,3617.0,52.0,2376.0,0.0,0.3930521091811414,0.0,0.3930521091811414
32,0.032,3617.0,55.0,2373.0,0.0,0.3925558312655087,0.0,0.3925558312655087
33,0.033,3617.0,64.0,2364.0,0.0,0.3910669975186104,0.0,0.3910669975186104
34,0.034,3617.0,69.0,2359.0,0.0,0.3902398676592225,0.0,0.3902398676592225
35,0.035,3617.0,73.0,2355.0,0.0,0.38957816377171217,0.0,0.38957816377171217
36,0.036,3617.0,76.0,2352.0,0.0,0.3890818858560794,0.0,0.3890818858560794
37,0.037,3617.0,80.0,2348.0,0.0,0.3884201819685691,0.0,0.3884201819685691
38,0.038,3617.0,84.0,2344.0,0.0,0.38775847808105873,0.0,0.38775847808105873
39,0.039,3617.0,88.0,2340.0,0.0,0.3870967741935484,0.0,0.3870967741935484
40,0.04,3617.0,96.0,2332.0,0.0,0.3857733664185277,0.0,0.3857733664185277
41,0.041,3617.0,103.0,2325.0,0.0,0.38461538461538464,0.0,0.38461538461538464
42,0.042,3617.0,106.0,2322.0,0.0,0.38411910669975186,0.0,0.38411910669975186
43,0.043,3617.0,111.0,2317.0,0.0,0.3832919768403639,0.0,0.3832919768403639
44,0.044,3617.0,114.0,2314.0,0.0,0.3827956989247312,0.0,0.3827956989247312
45,0.045,3617.0,118.0,2310.0,0.0,0.38213399503722084,0.0,0.38213399503722084
46,0.046,3617.0,123.0,2305.0,0.0,0.3813068651778329,0.0,0.3813068651778329
47,0.047,3617.0,126.0,2302.0,0.0,0.3808105872622002,0.0,0.3808105872622002
48,0.048,3617.0,132.0,2296.0,0.0,0.3798180314309347,0.0,0.3798180314309347
49,0.049,3617.0,134.0,2294.0,0.0,0.37948717948717947,0.0,0.37948717948717947
50,0.05,3617.0,138.0,2290.0,0.0,0.37882547559966917,0.0,0.37882547559966917
51,0.051,3617.0,142.0,2286.0,0.0,0.3781637717121588,0.0,0.3781637717121588
52,0.052,3617.0,147.0,2281.0,0.0,0.3773366418527709,0.0,0.3773366418527709
53,0.053,3617.0,149.0,2279.0,0.0,0.37700578990901573,0.0,0.37700578990901573
54,0.054,3617.0,152.0,2276.0,0.0,0.37650951199338295,0.0,0.37650951199338295
55,0.055,3617.0,156.0,2272.0,0.0,0.37584780810587265,0.0,0.37584780810587265
56,0.056,3617.0,157.0,2271.0,0.0,0.375682382133995,0.0,0.375682382133995
