,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
2,0.002,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
3,0.003,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
4,0.004,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
5,0.005,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
6,0.006,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
7,0.007,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
8,0.008,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
9,0.009,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
10,0.01,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
11,0.011,3617.0,5.0,2423.0,0.0,0.4008271298593879,0.0,0.4008271298593879
12,0.012,3617.0,9.0,2419.0,0.0,0.4001654259718776,0.0,0.4001654259718776
13,0.013,3617.0,15.0,2413.0,0.0,0.3991728701406121,0.0,0.3991728701406121
14,0.014,3617.0,21.0,2407.0,0.0,0.3981803143093466,0.0,0.3981803143093466
15,0.015,3617.0,26.0,2402.0,0.0,0.39735318444995865,0.0,0.39735318444995865
16,0.016,3617.0,34.0,2394.0,0.0,0.39602977667493794,0.0,0.39602977667493794
17,0.017,3617.0,44.0,2384.0,0.0,0.39437551695616213,0.0,0.39437551695616213
18,0.018,3617.0,48.0,2380.0,0.0,0.3937138130686518,0.0,0.3937138130686518
19,0.019,3617.0,53.0,2375.0,0.0,0.39288668320926384,0.0,0.39288668320926384
20,0.02,3617.0,65.0,2363.0,0.0,0.39090157154673283,0.0,0.39090157154673283
21,0.021,3617.0,72.0,2356.0,0.0,0.38974358974358975,0.0,0.38974358974358975
22,0.022,3617.0,79.0,2349.0,0.0,0.38858560794044666,0.0,0.38858560794044666
23,0.023,3617.0,86.0,2342.0,0.0,0.3874276261373036,0.0,0.3874276261373036
24,0.024,3617.0,97.0,2331.0,0.0,0.38560794044665014,0.0,0.38560794044665014
25,0.025,3617.0,105.0,2323.0,0.0,0.38428453267162943,0.0,0.38428453267162943
26,0.026,3617.0,112.0,2316.0,0.0,0.38312655086848635,0.0,0.38312655086848635
27,0.027,3617.0,116.0,2312.0,0.0,0.382464846980976,0.0,0.382464846980976
28,0.028,3617.0,122.0,2306.0,0.0,0.3814722911497105,0.0,0.3814722911497105
29,0.029,3617.0,130.0,2298.0,0.0,0.3801488833746898,0.0,0.3801488833746898
30,0.03,3617.0,136.0,2292.0,0.0,0.3791563275434243,0.0,0.3791563275434243
31,0.031,3617.0,144.0,2284.0,0.0,0.37783291976840366,0.0,0.37783291976840366
32,0.032,3617.0,149.0,2279.0,0.0,0.37700578990901573,0.0,0.37700578990901573
33,0.033,3617.0,156.0,2272.0,0.0,0.37584780810587265,0.0,0.37584780810587265
34,0.034,3617.0,160.0,2268.0,0.0,0.3751861042183623,0.0,0.3751861042183623
35,0.035,3617.0,167.0,2261.0,0.0,0.3740281224152192,0.0,0.3740281224152192
36,0.036,3617.0,171.0,2257.0,0.0,0.37336641852770885,0.0,0.37336641852770885
37,0.037,3617.0,176.0,2252.0,0.0,0.3725392886683209,0.0,0.3725392886683209
38,0.038,3617.0,182.0,2246.0,0.0,0.3715467328370554,0.0,0.3715467328370554
39,0.039,3617.0,185.0,2243.0,0.0,0.3710504549214227,0.0,0.3710504549214227
40,0.04,3617.0,189.0,2239.0,0.0,0.37038875103391233,0.0,0.37038875103391233
41,0.041,3617.0,196.0,2232.0,0.0,0.36923076923076925,0.0,0.36923076923076925
42,0.042,3617.0,204.0,2224.0,0.0,0.36790736145574854,0.0,0.36790736145574854
43,0.043,3617.0,208.0,2220.0,0.0,0.36724565756823824,0.0,0.36724565756823824
44,0.044,3617.0,212.0,2216.0,0.0,0.3665839536807279,0.0,0.3665839536807279
45,0.045,3617.0,213.0,2215.0,0.0,0.3664185277088503,0.0,0.3664185277088503
46,0.046,3617.0,223.0,2205.0,0.0,0.36476426799007444,0.0,0.36476426799007444
47,0.047,3617.0,225.0,2203.0,0.0,0.3644334160463193,0.0,0.3644334160463193
48,0.048,3617.0,231.0,2197.0,0.0,0.3634408602150538,0.0,0.3634408602150538
49,0.049,3617.0,236.0,2192.0,0.0,0.36261373035566585,0.0,0.36261373035566585
50,0.05,3617.0,243.0,2185.0,0.0,0.36145574855252277,0.0,0.36145574855252277
51,0.051,3617.0,247.0,2181.0,0.0,0.3607940446650124,0.0,0.3607940446650124
52,0.052,3617.0,252.0,2176.0,0.0,0.3599669148056245,0.0,0.3599669148056245
53,0.053,3617.0,256.0,2172.0,0.0,0.3593052109181141,0.0,0.3593052109181141
54,0.054,3617.0,265.0,2163.0,0.0,0.3578163771712159,0.0,0.3578163771712159
55,0.055,3617.0,274.0,2154.0,0.0,0.3563275434243176,0.0,0.3563275434243176
56,0.056,3617.0,282.0,2146.0,0.0,0.35500413564929695,0.0,0.35500413564929695
