,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.042417077693247006,0.9579688219505281
1,0.001,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
2,0.002,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
3,0.003,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
4,0.004,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
5,0.005,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
6,0.006,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
7,0.007,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
8,0.008,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
9,0.009,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
10,0.01,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
11,0.011,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,,
12,0.012,3617.0,1.0,2427.0,0.0,1.0,0.00041186161449752884,0.40148883374689825,0.9995881383855024,0.0,0.0,inf,inf,0.01569956738960161,0.9995881383855024,0.9995881383855024,0.9995881383855024,,
13,0.013,3617.0,3.0,2425.0,0.0,1.0,0.0012355848434925864,0.4011579818031431,0.9987644151565074,0.0,0.0,inf,inf,0.027196948573996762,0.9987644151565074,0.9987644151565074,0.9987644151565074,,
14,0.014,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
15,0.015,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
16,0.016,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
17,0.017,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
18,0.018,3617.0,4.0,2424.0,0.0,1.0,0.0016474464579901153,0.40099255583126553,0.9983525535420099,0.0,0.0,inf,inf,0.03140693031905417,0.9983525535420099,0.9983525535420099,0.9983525535420099,,
19,0.019,3617.0,6.0,2422.0,0.0,1.0,0.002471169686985173,0.4006617038875103,0.9975288303130149,0.0,0.0,inf,inf,0.03847184581812153,0.9975288303130149,0.9975288303130149,0.9975288303130149,,
20,0.02,3617.0,7.0,2421.0,0.0,1.0,0.002883031301482702,0.40049627791563275,0.9971169686985173,0.0,0.0,inf,inf,0.04155778374873329,0.9971169686985173,0.9971169686985173,0.9971169686985173,,
21,0.021,3617.0,13.0,2415.0,0.0,1.0,0.005354200988467875,0.39950372208436724,0.9946457990115322,0.0,0.0,inf,inf,0.0566618725506228,0.9946457990115322,0.9946457990115322,0.9946457990115322,,
22,0.022,3617.0,16.0,2412.0,0.0,1.0,0.006589785831960461,0.3990074441687345,0.9934102141680395,0.0,0.0,inf,inf,0.06287634128416372,0.9934102141680395,0.9934102141680395,0.9934102141680395,,
23,0.023,3617.0,19.0,2409.0,0.0,1.0,0.007825370675453048,0.39851116625310173,0.9921746293245469,0.0,0.0,inf,inf,0.0685349578457275,0.9921746293245469,0.9921746293245469,0.9921746293245469,,
24,0.024,3617.0,22.0,2406.0,0.0,1.0,0.009060955518945634,0.398014888337469,0.9909390444810544,0.0,0.0,inf,inf,0.07376576012688534,0.9909390444810544,0.9909390444810544,0.9909390444810544,,
25,0.025,3617.0,26.0,2402.0,0.0,1.0,0.01070840197693575,0.39735318444995865,0.9892915980230642,0.0,0.0,inf,inf,0.08021847758030964,0.9892915980230642,0.9892915980230642,0.9892915980230642,,
26,0.026,3617.0,27.0,2401.0,0.0,1.0,0.011120263591433279,0.3971877584780811,0.9888797364085667,0.0,0.0,inf,inf,0.08175337744825249,0.9888797364085667,0.9888797364085667,0.9888797364085667,,
27,0.027,3617.0,32.0,2396.0,0.0,1.0,0.013179571663920923,0.39636062861869314,0.9868204283360791,0.0,0.0,inf,inf,0.08903880044172566,0.9868204283360791,0.9868204283360791,0.9868204283360791,,
28,0.028,3617.0,40.0,2388.0,0.0,1.0,0.016474464579901153,0.39503722084367243,0.9835255354200988,0.0,0.0,inf,inf,0.09961469348587675,0.9835255354200988,0.9835255354200988,0.9835255354200988,,
29,0.029,3617.0,45.0,2383.0,0.0,1.0,0.018533772652388796,0.39421009098428456,0.9814662273476112,0.0,0.0,inf,inf,0.10570135262749343,0.9814662273476112,0.9814662273476112,0.9814662273476112,,
30,0.03,3617.0,48.0,2380.0,0.0,1.0,0.019769357495881382,0.3937138130686518,0.9802306425041186,0.0,0.0,inf,inf,0.1091951897834168,0.9802306425041186,0.9802306425041186,0.9802306425041186,,
