,thresholds,TP,TN,FP,FN,CR,MOR,"dist to 0,0"
0,0.0,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
1,0.001,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
2,0.002,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
3,0.003,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
4,0.004,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
5,0.005,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
6,0.006,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
7,0.007,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
8,0.008,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
9,0.009,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
10,0.01,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
11,0.011,3617.0,0.0,2428.0,0.0,0.40165425971877583,0.0,0.40165425971877583
12,0.012,3617.0,1.0,2427.0,0.0,0.40148883374689825,0.0,0.40148883374689825
13,0.013,3617.0,3.0,2425.0,0.0,0.4011579818031431,0.0,0.4011579818031431
14,0.014,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
15,0.015,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
16,0.016,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
17,0.017,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
18,0.018,3617.0,4.0,2424.0,0.0,0.40099255583126553,0.0,0.40099255583126553
19,0.019,3617.0,6.0,2422.0,0.0,0.4006617038875103,0.0,0.4006617038875103
20,0.02,3617.0,7.0,2421.0,0.0,0.40049627791563275,0.0,0.40049627791563275
21,0.021,3617.0,13.0,2415.0,0.0,0.39950372208436724,0.0,0.39950372208436724
22,0.022,3617.0,16.0,2412.0,0.0,0.3990074441687345,0.0,0.3990074441687345
23,0.023,3617.0,19.0,2409.0,0.0,0.39851116625310173,0.0,0.39851116625310173
24,0.024,3617.0,22.0,2406.0,0.0,0.398014888337469,0.0,0.398014888337469
25,0.025,3617.0,26.0,2402.0,0.0,0.39735318444995865,0.0,0.39735318444995865
26,0.026,3617.0,27.0,2401.0,0.0,0.3971877584780811,0.0,0.3971877584780811
27,0.027,3617.0,32.0,2396.0,0.0,0.39636062861869314,0.0,0.39636062861869314
28,0.028,3617.0,40.0,2388.0,0.0,0.39503722084367243,0.0,0.39503722084367243
29,0.029,3617.0,45.0,2383.0,0.0,0.39421009098428456,0.0,0.39421009098428456
30,0.03,3617.0,48.0,2380.0,0.0,0.3937138130686518,0.0,0.3937138130686518
31,0.031,3617.0,50.0,2378.0,0.0,0.3933829611248966,0.0,0.3933829611248966
32,0.032,3617.0,54.0,2374.0,0.0,0.39272125723738627,0.0,0.39272125723738627
33,0.033,3617.0,56.0,2372.0,0.0,0.3923904052936311,0.0,0.3923904052936311
34,0.034,3617.0,66.0,2362.0,0.0,0.39073614557485525,0.0,0.39073614557485525
35,0.035,3617.0,70.0,2358.0,0.0,0.3900744416873449,0.0,0.3900744416873449
36,0.036,3617.0,76.0,2352.0,0.0,0.3890818858560794,0.0,0.3890818858560794
37,0.037,3617.0,78.0,2350.0,0.0,0.38875103391232424,0.0,0.38875103391232424
38,0.038,3617.0,81.0,2347.0,0.0,0.38825475599669146,0.0,0.38825475599669146
39,0.039,3617.0,86.0,2342.0,0.0,0.3874276261373036,0.0,0.3874276261373036
40,0.04,3617.0,92.0,2336.0,0.0,0.3864350703060381,0.0,0.3864350703060381
41,0.041,3617.0,98.0,2330.0,0.0,0.3854425144747725,0.0,0.3854425144747725
42,0.042,3617.0,103.0,2325.0,0.0,0.38461538461538464,0.0,0.38461538461538464
43,0.043,3617.0,107.0,2321.0,0.0,0.3839536807278743,0.0,0.3839536807278743
44,0.044,3617.0,112.0,2316.0,0.0,0.38312655086848635,0.0,0.38312655086848635
45,0.045,3617.0,114.0,2314.0,0.0,0.3827956989247312,0.0,0.3827956989247312
46,0.046,3617.0,118.0,2310.0,0.0,0.38213399503722084,0.0,0.38213399503722084
47,0.047,3617.0,125.0,2303.0,0.0,0.38097601323407776,0.0,0.38097601323407776
48,0.048,3617.0,129.0,2299.0,0.0,0.3803143093465674,0.0,0.3803143093465674
49,0.049,3617.0,132.0,2296.0,0.0,0.3798180314309347,0.0,0.3798180314309347
50,0.05,3617.0,135.0,2293.0,0.0,0.3793217535153019,0.0,0.3793217535153019
51,0.051,3617.0,139.0,2289.0,0.0,0.37866004962779154,0.0,0.37866004962779154
52,0.052,3617.0,142.0,2286.0,0.0,0.3781637717121588,0.0,0.3781637717121588
53,0.053,3617.0,147.0,2281.0,0.0,0.3773366418527709,0.0,0.3773366418527709
54,0.054,3617.0,150.0,2278.0,0.0,0.37684036393713816,0.0,0.37684036393713816
55,0.055,3617.0,155.0,2273.0,0.0,0.3760132340777502,0.0,0.3760132340777502
56,0.056,3617.0,156.0,2272.0,0.0,0.37584780810587265,0.0,0.37584780810587265
