timestamp,WiFi-val,CO2-val,truth-val,Elec-val_OLD,Elec-val_NEW,"Watts, W, 215 Sage RX3000_B HVAC T4 12 24","Watts, W, 215 Sage RX3000_B HVAC T4 16","Watts, W, 215 Sage RX3000_B Lighting T2 37","Watts, W, 215 Sage RX3000_B Panel T1 tot T4 38","Watts, W, 215 Sage RX3000_B Panel T2A and T2B tot T2 32 38","Watts, W, 215 Sage RX3000_B Panel T3 tot T3 L1","Watts, W, 215 Sage RX3000_B Plugs T2 10 22","Watts, W, 215 Sage RX3000_B Plugs T2 11 17 23 29 35","Watts, W, 215 Sage RX3000_B Plugs T2 2 14 26","Watts, W, 215 Sage RX3000_B Plugs T2 6 18 39","Watts, W, 215 Sage RX3000_B Plugs T2 7 13 19 25 31","Watts, W, 215 Sage RX3000_B Solar T2 1","Watts, w, 215 Sage RX3000_B Solar T3 1","Voltage RMS, mV, 215 Sage RX3000_B spare","Watts, W, 215 Sage RX3000_B Plugs T2 9 15 21 27 33","Watts, W, 215 Sage U30_A HVAC T4 4","Watts, W, 215 Sage U30_A HVAC T4 8","Watts, W, 215 Sage U30_A T4A L1 tot","Watts, W, 215 Sage U30_A HVAC T4 1 7 3ph","Watts, W, 215 Sage U30_A HVAC T4 2","Watts, W, 215 Sage U30_A Lighting T1 8 14","Watts, W, 215 Sage U30_A Plugs T4 17 23","Watts, W, 215 Sage U30_A Lighting T1 4 10","Watts, W, 215 Sage U30_A Lighting T1 6 12","Watts, W, 215 Sage U30_A Plugs T4 13 19","Watts, W, 215 Sage U30_A Kitchen T1 15","Watts, W, 215 Sage U30_A Plugs T4 15 21","Watts, W, 215 Sage U30_A Kitchen T1 17","Watts, W, 215 Sage U30_A Kitchen T1 13 19","Watts, W, 215 Sage U30_A Solar T1 1"
7/2/2019 0:00,3,89,1,9098.97,"4,958.57",798.9,632,0,"3,130.20",0,"1,010.20",0,0,0,0,265.5,0,0,0,55.4,0,440.7,0,"1,845.50",0,198.5,223.8,98,145,0,20.97,91.8,0,142.5,0
7/2/2019 0:05,3,94,1,9213.88,"5,190.88","1,076.50",629,0,"3,014.50",0,"1,008.50",0,0,0,0,255.1,0,0,0,55.1,0,445.1,0,"1,813.40",0,197.6,194,101.6,145.3,0,20.88,91.8,0,165.5,0
7/2/2019 0:10,3,88,1,9545.79,"5,473.89","1,237.60",633.4,0,"3,027.10",0,"1,044.80",0,0,0,0,252.5,0,0,0,59.6,0,444.1,0,"1,913.90",0,205,202.7,102.2,146.1,0,20.59,93.2,0,163,0
7/2/2019 0:15,3,90,1,8566.97,"4,795.67",808.6,630,0,"3,104.00",0,667.3,0,0,0,0,259.6,0,0,0,57.1,0,450.9,0,"1,828.60",0,199,201.9,100.8,145.3,0,20.67,93.2,0,0,0
7/2/2019 0:20,3,81,1,8683.49,"4,708.69",802.8,634.4,0,"3,248.40",0,726.4,0,0,0,0,262.7,0,0,0,56.2,0,444.6,0,"1,741.60",0,198.8,207.8,102.2,145.8,0,19.49,92.3,0,0,0
7/2/2019 0:25,3,82,1,8325.03,"4,862.13",797.9,634.4,0,"2,777.10",0,685.8,0,0,0,0,255.1,0,0,0,57,0,449.5,0,"1,770.30",0,198.2,196,101.9,145.3,0,19.23,92.9,0,144.4,0
7/2/2019 0:30,3,76,1,8433.9,"4,997.20",810.1,628.5,0,"2,794.80",0,641.9,0,0,0,0,257.3,0,0,0,57.6,0,447,0,"1,892.80",0,199,202.4,102.2,146.1,0,0,92.6,0,161.6,0
7/2/2019 0:35,3,79,1,8437.2,"4,829.00",807.2,630,0,"2,938.40",0,669.8,0,0,0,0,272.8,0,0,0,68.7,0,447,0,"1,715.40",0,198.5,200.5,106.1,145.8,0,0,92.9,0,144.1,0
7/2/2019 0:40,3,72,1,8582.8,"4,978.80",807.6,638.3,0,"2,964.60",0,639.4,0,0,0,0,258.2,0,0,0,55.6,0,450.9,0,"1,887.70",0,198.2,202.1,99.1,145.8,0,0,92.3,0,143,0
7/2/2019 0:45,3,72,1,12062.2,"4,949.60",858.9,630.5,0,"3,028.00",0,"4,084.60",0,0,0,0,257.9,0,0,0,55.4,0,443.1,0,"1,970.50",0,198.5,198.2,98.5,145.8,0,0,92.3,0,0,0
7/2/2019 0:50,3,72,1,9012.5,"5,373.90","1,240.50",631.5,0,"2,954.50",0,684.1,0,0,0,0,257.9,0,0,0,55.4,0,449.5,0,"1,860.70",0,198.8,195.4,103,145.6,0,0,92.9,0,142.7,0
7/2/2019 0:55,3,66,1,8578.7,"4,947.70",806.7,636.4,0,"2,960.40",0,670.6,0,0,0,0,254.8,0,0,0,55.6,0,465.6,0,"1,843.80",0,198.5,206.1,98.5,145.8,0,0,92.3,0,143.6,0
7/2/2019 1:00,3,65,1,12267.2,"8,859.20",805.7,630.5,0,"2,786.40",0,621.6,0,0,0,0,256.8,0,0,0,68.6,0,461.2,0,"5,740.00",0,205.5,204.4,99.4,146.1,0,0,92.3,0,148.7,0
7/2/2019 1:05,3,65,1,7337.4,"3,823.80",820.8,650.5,0,"2,919.00",0,594.6,0,0,0,0,259.3,0,0,0,55.7,0,463.6,0,694.3,0,203.3,195.7,99.1,146.1,0,0,92.9,0,142.5,0
7/2/2019 1:10,3,67,1,16135,"12,595.20",822.3,653.9,0,"2,887.80",0,652,0,0,0,0,252,0,0,0,54.2,0,514.8,0,"9,552.70",0,204.4,201.6,99.1,147,0,0,93.2,0,0,0
7/2/2019 1:15,3,62,1,16170.58,"12,558.98",818.9,642.7,0,"2,876.80",0,734.8,0,0,0,0,265.2,0,0,0,56.2,0,616.3,0,"9,255.40",0,201.9,196.5,98.5,146.1,0,20.88,92.6,0,147.8,0
7/2/2019 1:20,3,63,1,16538.66,"13,013.26",822.8,639.3,0,"2,816.80",0,708.6,0,0,0,0,273.7,0,0,0,68.2,0,519.7,0,"9,929.40",0,202.7,199.3,98.5,145.8,0,21.26,92.6,0,0,0
7/2/2019 1:25,3,59,1,17020.8,"13,264.70",856.4,643.2,0,"3,058.40",0,697.7,0,0,0,0,259.9,0,0,0,55.4,0,513.9,0,"10,032.40",0,202.4,196,98.3,146.1,0,20.8,92.9,0,147,0
7/2/2019 1:30,3,64,1,17581.1,"13,890.10","1,221.50",645.1,0,"3,104.00",0,587,0,0,0,0,260.1,0,0,0,55.1,0,509.5,0,"10,410.80",0,231.4,195.1,102.8,146.1,0,19.7,92.9,0,0,0
7/2/2019 1:35,3,59,1,16604.39,"13,141.39",805.2,639.3,0,"2,817.70",0,645.3,0,0,0,0,265.5,0,0,0,56.7,0,512.9,0,"9,915.80",0,202.4,206.7,98.5,145.8,0,19.19,92.9,0,180.5,0
7/2/2019 1:40,3,58,1,20140.12,"13,038.62",809.1,642.2,0,"3,054.10",0,"4,047.40",0,0,0,0,269.2,0,0,0,55.1,0,515.3,0,"9,787.50",0,204.7,197.6,98.8,145.6,0,75.42,92.3,0,145.8,0
7/2/2019 1:45,3,53,1,16621.6,"12,931.40",807.6,635.9,0,"3,067.70",0,622.5,0,0,0,0,259.6,0,0,0,69,0,516.3,0,"9,757.90",0,201.9,199.3,99.1,145.8,0,0,92.6,0,146.4,0
7/2/2019 1:50,3,53,1,17326.1,"13,500.80",809.6,635.4,0,"3,194.40",0,630.9,0,0,0,0,275.3,0,0,0,56,0,514.8,0,"10,320.40",0,201.6,202.1,98.8,146.1,0,0,92.3,0,148.4,0
7/2/2019 1:55,3,54,1,17049.3,"12,968.10",807.2,637.3,0,"3,027.10",0,"1,054.10",0,0,0,0,353.6,0,0,0,56,0,516.3,0,"9,706.40",0,201.6,195.4,107.5,145.8,0,0,92.3,0,148.7,0
7/2/2019 2:00,3,48,1,20987.8,"13,263.70",823.7,634.4,0,"3,084.60",0,"4,639.50",0,0,0,0,352.2,0,0,0,56.7,0,520.7,0,"9,974.10",0,201.6,208.3,106.4,145.8,0,0,92.3,0,147.5,0
7/2/2019 2:05,3,46,1,17379.4,"13,259.30","1,150.20",633.9,0,"2,859.90",0,"1,260.20",0,0,0,0,356.1,0,0,0,59,0,516.3,0,"9,660.80",0,201.9,194.8,99.7,145.6,0,0,92.6,0,148.4,0
7/2/2019 2:10,3,50,1,17642.1,"13,511.90","1,216.60",635.9,0,"3,081.20",0,"1,049.00",0,0,0,0,338.4,0,0,0,61,0,511.4,0,"9,867.70",0,201.6,194.3,98.5,146.1,0,0,92.9,0,147.5,0
7/2/2019 2:15,3,41,1,17277.5,"12,991.80",804.2,633.4,0,"3,131.90",0,"1,153.80",0,0,0,0,337.8,0,0,0,58.2,0,514.4,0,"9,754.50",0,201,194.8,107.3,145.8,0,0,92.3,0,148.1,0
