timestamp,WiFi-val,CO2-val,truth-val,Elec-val
7/2/2019 0:00,3,89,1,"4,958.57"
7/2/2019 0:05,3,94,1,"5,190.88"
7/2/2019 0:10,3,88,1,"5,473.89"
7/2/2019 0:15,3,90,1,"4,795.67"
7/2/2019 0:20,3,81,1,"4,708.69"
7/2/2019 0:25,3,82,1,"4,862.13"
7/2/2019 0:30,3,76,1,"4,997.20"
7/2/2019 0:35,3,79,1,"4,829.00"
7/2/2019 0:40,3,72,1,"4,978.80"
7/2/2019 0:45,3,72,1,"4,949.60"
7/2/2019 0:50,3,72,1,"5,373.90"
7/2/2019 0:55,3,66,1,"4,947.70"
7/2/2019 1:00,3,65,1,"8,859.20"
7/2/2019 1:05,3,65,1,"3,823.80"
7/2/2019 1:10,3,67,1,"12,595.20"
7/2/2019 1:15,3,62,1,"12,558.98"
7/2/2019 1:20,3,63,1,"13,013.26"
7/2/2019 1:25,3,59,1,"13,264.70"
7/2/2019 1:30,3,64,1,"13,890.10"
7/2/2019 1:35,3,59,1,"13,141.39"
7/2/2019 1:40,3,58,1,"13,038.62"
7/2/2019 1:45,3,53,1,"12,931.40"
7/2/2019 1:50,3,53,1,"13,500.80"
7/2/2019 1:55,3,54,1,"12,968.10"
7/2/2019 2:00,3,48,1,"13,263.70"
7/2/2019 2:05,3,46,1,"13,259.30"
7/2/2019 2:10,3,50,1,"13,511.90"
7/2/2019 2:15,3,41,1,"12,991.80"
7/2/2019 2:20,3,42,1,"12,850.90"
7/2/2019 2:25,3,39,1,"13,043.98"
7/2/2019 2:30,3,36,1,"13,219.16"
7/2/2019 2:35,3,38,1,"13,025.35"
7/2/2019 2:40,3,33,1,"12,988.81"
7/2/2019 2:45,3,33,1,"13,003.98"
7/2/2019 2:50,3,34,1,"13,116.62"
7/2/2019 2:55,3,27,1,"12,568.30"
7/2/2019 3:00,3,30,1,"16,688.40"
7/2/2019 3:05,3,30,1,"20,436.00"
7/2/2019 3:10,3,32,1,"9,500.90"
7/2/2019 3:15,3,28,1,"9,685.70"
7/2/2019 3:20,3,28,1,"12,493.00"
7/2/2019 3:25,3,30,1,"13,670.40"
7/2/2019 3:30,3,25,1,"14,557.30"
7/2/2019 3:35,3,25,1,"15,085.00"
7/2/2019 3:40,3,23,1,"8,764.46"
7/2/2019 3:45,3,26,1,"10,726.34"
7/2/2019 3:50,3,19,1,"12,225.48"
7/2/2019 3:55,3,18,1,"12,991.25"
7/2/2019 4:00,3,18,1,"12,796.16"
7/2/2019 4:05,3,17,1,"12,915.70"
7/2/2019 4:10,3,19,1,"12,502.30"
7/2/2019 4:15,3,15,1,"12,294.21"
7/2/2019 4:20,3,11,1,"12,264.70"
7/2/2019 4:25,3,11,1,"12,815.40"
7/2/2019 4:30,3,17,1,"12,748.50"
7/2/2019 4:35,3,21,1,"12,994.71"
7/2/2019 4:40,3,17,1,"12,760.20"
7/2/2019 4:45,3,12,1,"12,933.80"
7/2/2019 4:50,3,8,1,"13,387.97"
7/2/2019 4:55,3,9,1,"13,050.35"
7/2/2019 5:00,3,4,1,"13,016.03"
7/2/2019 5:05,3,6,1,"13,100.61"
7/2/2019 5:10,3,4,1,"12,859.47"
7/2/2019 5:15,3,-1,1,"10,495.30"
7/2/2019 5:20,3,7,1,"10,580.10"
7/2/2019 5:25,3,0,1,"10,856.30"
7/2/2019 5:30,3,3,1,"11,085.03"
7/2/2019 5:35,3,1,1,"10,708.11"
7/2/2019 5:40,3,1,1,"11,212.10"
7/2/2019 5:45,3,4,1,"11,774.10"
7/2/2019 5:50,3,0,1,"11,162.60"
7/2/2019 5:55,3,-1,1,"11,170.30"
