,AP.VIRIDIAN2_Total_Count
2019-07-02 05:51:30.547012300,3
2019-07-02 05:51:30.563003500,3
2019-07-02 05:51:30.600006100,3
2019-07-02 05:51:30.611007600,3
2019-07-02 05:51:30.648010200,3
2019-07-02 05:51:30.650009100,3
2019-07-02 05:51:30.662002500,3
2019-07-02 05:52:30.551010100,3
2019-07-02 05:52:30.570007300,3
2019-07-02 05:52:30.609008700,3
2019-07-02 05:52:30.622009200,3
2019-07-02 05:52:30.659011800,3
2019-07-02 05:52:30.661010700,3
2019-07-02 05:52:30.675003000,3
2019-07-02 05:53:30.556015000,3
2019-07-02 05:53:30.579010000,3
2019-07-02 05:53:30.616012500,3
2019-07-02 05:53:30.628005900,3
2019-07-02 05:53:30.664001400,3
2019-07-02 05:53:30.665008500,3
2019-07-02 05:53:30.677001900,3
2019-07-02 05:54:30.554000800,3
2019-07-02 05:54:30.573013300,3
2019-07-02 05:54:30.612014700,3
2019-07-02 05:54:30.625000000,3
2019-07-02 05:54:30.662002500,3
2019-07-02 05:54:30.664001400,3
2019-07-02 05:54:30.677001900,3
2019-07-02 05:55:30.575012200,3
2019-07-02 05:55:30.593002300,3
2019-07-02 05:55:30.626007000,3
2019-07-02 05:55:30.639007500,3
2019-07-02 05:55:30.675003000,3
2019-07-02 05:55:30.677001900,3
2019-07-02 05:55:30.690002400,3
2019-07-02 05:56:30.586013700,3
2019-07-02 05:56:30.603012000,3
2019-07-02 05:56:30.639007500,3
2019-07-02 05:56:30.651000900,3
2019-07-02 05:56:30.685012800,3
2019-07-02 05:56:30.686004600,3
2019-07-02 05:56:30.698013300,3
2019-07-02 05:57:30.591003400,3
2019-07-02 05:57:30.609008700,3
2019-07-02 05:57:30.644012400,3
2019-07-02 05:57:30.657012900,3
2019-07-02 05:57:30.690002400,3
2019-07-02 05:57:30.692001300,3
2019-07-02 05:57:30.703002900,3
2019-07-02 05:58:30.595001200,3
2019-07-02 05:58:30.613006500,3
2019-07-02 05:58:30.660003600,3
2019-07-02 05:58:30.673004100,3
2019-07-02 05:58:30.708007800,3
2019-07-02 05:58:30.709014800,3
2019-07-02 05:58:30.722000100,3
2019-07-02 05:59:30.612014700,3
2019-07-02 05:59:30.630004800,3
2019-07-02 05:59:30.671005200,3
2019-07-02 05:59:30.683013900,3
2019-07-02 05:59:30.717010400,3
2019-07-02 05:59:30.719009300,3
2019-07-02 05:59:30.731002800,3
2019-07-02 06:01:30.636001500,3
2019-07-02 06:01:30.655014000,3
2019-07-02 06:01:30.688003500,3
2019-07-02 06:01:30.700012200,3
2019-07-02 06:01:30.739013600,3
2019-07-02 06:01:30.741012500,3
2019-07-02 06:01:30.754013000,3
